rule,tau1,tau2,pgd_recall,pgd_fp,walkrun_fp,precision,specificity,f1,clean_fall_recall,clean_fp,pgd20_recall
D_pfall+entropy,0.0,1.8,0.378,72,54,0.191,0.842,0.254,0.956,8,0.378
D_pfall+entropy,0.0,1.9,0.644,102,73,0.221,0.776,0.330,0.978,22,0.600
D_pfall+entropy,0.0,2.0,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
D_pfall+entropy,0.04,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.04,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.04,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.04,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.04,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.04,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.04,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.04,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.04,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.04,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.04,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.04,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.04,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.04,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.04,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.04,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
D_pfall+entropy,0.04,1.6,0.200,10,8,0.474,0.978,0.281,0.333,1,0.222
D_pfall+entropy,0.04,1.7,0.267,54,41,0.182,0.881,0.216,0.733,4,0.311
D_pfall+entropy,0.04,1.8,0.378,72,54,0.191,0.842,0.254,0.956,8,0.378
D_pfall+entropy,0.04,1.9,0.644,102,73,0.221,0.776,0.330,0.978,22,0.600
D_pfall+entropy,0.04,2.0,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
D_pfall+entropy,0.08,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.08,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.08,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.08,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.08,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.08,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.08,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.08,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.08,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.08,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.08,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.08,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.08,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.08,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.08,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.08,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
D_pfall+entropy,0.08,1.6,0.200,10,8,0.474,0.978,0.281,0.333,1,0.222
D_pfall+entropy,0.08,1.7,0.267,54,41,0.182,0.881,0.216,0.733,4,0.311
D_pfall+entropy,0.08,1.8,0.378,72,54,0.191,0.842,0.254,0.956,8,0.378
D_pfall+entropy,0.08,1.9,0.644,102,73,0.221,0.776,0.330,0.978,22,0.600
D_pfall+entropy,0.08,2.0,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
D_pfall+entropy,0.12,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.12,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.12,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.12,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.12,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.12,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.12,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.12,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.12,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.12,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.12,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.12,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.12,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.12,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.12,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.12,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
D_pfall+entropy,0.12,1.6,0.200,10,8,0.474,0.978,0.281,0.333,1,0.222
D_pfall+entropy,0.12,1.7,0.267,54,41,0.182,0.881,0.216,0.733,4,0.311
D_pfall+entropy,0.12,1.8,0.378,72,54,0.191,0.842,0.254,0.956,8,0.378
D_pfall+entropy,0.12,1.9,0.644,102,73,0.221,0.776,0.330,0.978,22,0.600
D_pfall+entropy,0.12,2.0,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
D_pfall+entropy,0.16,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.16,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.16,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.16,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.16,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.16,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.16,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.16,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.16,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.16,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.16,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.16,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.16,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.16,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.16,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.16,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
D_pfall+entropy,0.16,1.6,0.200,10,8,0.474,0.978,0.281,0.333,1,0.222
D_pfall+entropy,0.16,1.7,0.267,54,41,0.182,0.881,0.216,0.733,4,0.311
D_pfall+entropy,0.16,1.8,0.378,72,54,0.191,0.842,0.254,0.956,8,0.378
D_pfall+entropy,0.16,1.9,0.644,102,73,0.221,0.776,0.330,0.978,22,0.600
D_pfall+entropy,0.16,2.0,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
D_pfall+entropy,0.2,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.2,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.2,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.2,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.2,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.2,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.2,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.2,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.2,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.2,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.2,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.2,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.2,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.2,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.2,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.2,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
D_pfall+entropy,0.2,1.6,0.200,10,8,0.474,0.978,0.281,0.333,1,0.222
D_pfall+entropy,0.2,1.7,0.267,54,41,0.182,0.881,0.216,0.733,4,0.311
D_pfall+entropy,0.2,1.8,0.378,72,54,0.191,0.842,0.254,0.956,8,0.378
D_pfall+entropy,0.2,1.9,0.622,101,72,0.217,0.778,0.322,0.978,22,0.600
D_pfall+entropy,0.2,2.0,0.644,102,72,0.221,0.776,0.330,0.978,24,0.600
D_pfall+entropy,0.24,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.24,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.24,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.24,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.24,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.24,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.24,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.24,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.24,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.24,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.24,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.24,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.24,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.24,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.24,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.24,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
D_pfall+entropy,0.24,1.6,0.200,10,8,0.474,0.978,0.281,0.333,1,0.222
D_pfall+entropy,0.24,1.7,0.267,54,41,0.182,0.881,0.216,0.733,4,0.311
D_pfall+entropy,0.24,1.8,0.378,72,54,0.191,0.842,0.254,0.956,8,0.378
D_pfall+entropy,0.24,1.9,0.622,93,65,0.231,0.796,0.337,0.978,20,0.578
D_pfall+entropy,0.24,2.0,0.622,93,65,0.231,0.796,0.337,0.978,20,0.578
D_pfall+entropy,0.28,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.28,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.28,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.28,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.28,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.28,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.28,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.28,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.28,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.28,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.28,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.28,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.28,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.28,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.28,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.28,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
D_pfall+entropy,0.28,1.6,0.200,10,8,0.474,0.978,0.281,0.333,1,0.200
D_pfall+entropy,0.28,1.7,0.267,50,38,0.194,0.890,0.224,0.733,2,0.267
D_pfall+entropy,0.28,1.8,0.378,64,48,0.210,0.859,0.270,0.956,6,0.333
D_pfall+entropy,0.28,1.9,0.467,74,54,0.221,0.837,0.300,0.978,15,0.378
D_pfall+entropy,0.28,2.0,0.467,74,54,0.221,0.837,0.300,0.978,15,0.378
D_pfall+entropy,0.32,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.32,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.32,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.32,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.32,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.32,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.32,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.32,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.32,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.32,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.32,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.32,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.32,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.32,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.32,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.32,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
