effect,contrast,checkpoint,epsilon,metric,n_seeds,mean_diff,median_diff,sd_diff,min_diff,max_diff,n_positive,n_negative,per_seed
floor,V11-V01,last,0.015,test_FAR,2,-0.004395604395604394,-0.004395604395604394,0.01758241758241759,-0.021978021978021983,0.013186813186813195,1,1,42:-0.0220;43:+0.0132
floor,V11-V01,last,0.015,val_pgd_pauroc_far020,2,0.10094026548672547,0.10094026548672547,0.02204847144006411,0.07889179404666136,0.12298873692678958,2,0,42:+0.1230;43:+0.0789
floor,V11-V01,last,0.015,val_pgd_auroc,2,0.025593322606596913,0.025593322606596913,0.0014581657280772764,0.024135156878519637,0.02705148833467419,2,0,42:+0.0271;43:+0.0241
floor,V11-V01,last,0.015,val_sel_recall,2,0.10227272727272724,0.10227272727272724,0.034090909090909116,0.06818181818181812,0.13636363636363635,2,0,42:+0.1364;43:+0.0682
floor,V11-V01,last,0.015,test_pgd_cohens_d,2,0.17210810417212052,0.17210810417212052,0.13462419061878317,0.037483913553337356,0.3067322947909037,2,0,42:+0.3067;43:+0.0375
floor,V11-V01,last,0.015,test_clean_recall_at_tau,2,0.04444444444444445,0.04444444444444445,0.02222222222222231,0.022222222222222143,0.06666666666666676,2,0,42:+0.0222;43:+0.0667
floor,V11-V01,last,0.015,test_pgd_argmax_acc7,2,0.024999999999999967,0.024999999999999967,0.007000000000000006,0.01799999999999996,0.03199999999999997,2,0,42:+0.0320;43:+0.0180
adaptive,V01-V00,last,0.015,test_pgd_pauroc_far020,2,-0.04871794871794871,-0.04871794871794871,0.016239316239316015,-0.06495726495726473,-0.032478632478632696,0,2,42:-0.0650;43:-0.0325
adaptive,V01-V00,last,0.015,test_pgd_auroc,2,-0.012234432234432213,-0.012234432234432213,0.0008547008547008517,-0.013089133089133065,-0.011379731379731362,0,2,42:-0.0131;43:-0.0114
adaptive,V01-V00,last,0.015,test_recall,2,-0.05555555555555558,-0.05555555555555558,0.011111111111111072,-0.06666666666666665,-0.04444444444444451,0,2,42:-0.0667;43:-0.0444
adaptive,V01-V00,last,0.015,test_FAR,2,0.013186813186813182,0.013186813186813182,0.002197802197802204,0.010989010989010978,0.015384615384615385,2,0,42:+0.0154;43:+0.0110
adaptive,V01-V00,last,0.015,val_pgd_pauroc_far020,2,-0.05576226870474649,-0.05576226870474649,0.03720836685438439,-0.09297063555913088,-0.018553901850362098,0,2,42:-0.0930;43:-0.0186
adaptive,V01-V00,last,0.015,val_pgd_auroc,2,-0.01558728881737731,-0.01558728881737731,0.0045253419147224805,-0.02011263073209979,-0.011061946902654829,0,2,42:-0.0201;43:-0.0111
adaptive,V01-V00,last,0.015,val_sel_recall,2,-0.06818181818181818,-0.06818181818181818,0.022727272727272763,-0.09090909090909094,-0.045454545454545414,0,2,42:-0.0909;43:-0.0455
adaptive,V01-V00,last,0.015,test_pgd_cohens_d,2,0.09965178298279131,0.09965178298279131,0.3367065672743975,-0.2370547842916062,0.43635835025718883,1,1,42:-0.2371;43:+0.4364
adaptive,V01-V00,last,0.015,test_clean_recall_at_tau,2,-0.03333333333333338,-0.03333333333333338,0.03333333333333338,-0.06666666666666676,0.0,0,1,42:+0.0000;43:-0.0667
adaptive,V01-V00,last,0.015,test_pgd_argmax_acc7,2,-0.021999999999999964,-0.021999999999999964,0.016000000000000014,-0.03799999999999998,-0.00599999999999995,0,2,42:-0.0380;43:-0.0060
adaptive,V11-V10,last,0.015,test_pgd_pauroc_far020,2,-0.012820512820513441,-0.012820512820513441,0.00818070818070804,-0.02100122100122148,-0.0046398046398054005,0,2,42:-0.0046;43:-0.0210
adaptive,V11-V10,last,0.015,test_pgd_auroc,2,-8.547008547010737e-05,-8.547008547010737e-05,0.0015262515262515208,-0.0016117216117216282,0.0014407814407814135,1,1,42:+0.0014;43:-0.0016
adaptive,V11-V10,last,0.015,test_recall,2,0.0666666666666666,0.0666666666666666,0.04444444444444445,0.022222222222222143,0.11111111111111105,2,0,42:+0.0222;43:+0.1111
adaptive,V11-V10,last,0.015,test_FAR,2,0.010989010989010992,0.010989010989010992,0.010989010989010992,0.0,0.021978021978021983,1,0,42:+0.0000;43:+0.0220
adaptive,V11-V10,last,0.015,val_pgd_pauroc_far020,2,0.03854082864038599,0.03854082864038599,0.008422164119066933,0.03011866452131906,0.046962992759452926,2,0,42:+0.0470;43:+0.0301
