epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_fgsm_fall_recall,val_fgsm_false_fall_alarms,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_normalized_false_alarm_burden,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,fall_selected_count,nonfall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,clean_guard_eligible,selection_score,sel_maxscore
39,0.125531,0.125265,0.097345,452,44,0.181818,0.295455,30,0.614919,0.556504,0.863636,0.081858,2.488455,1.274928,0.264333,0.240813,0.330224,0.953003,0.258526,2.580645,7.677419,0.983871,3.686294,0,-0.061070,0
40,0.125265,0.125442,0.101770,452,46,0.204545,0.295455,25,0.629032,0.560542,0.886364,0.078540,2.619422,1.310857,0.257560,0.315478,0.298532,0.818613,0.334451,2.548387,7.645161,0.919355,2.447632,0,0.028258,0
41,0.125442,0.124735,0.092920,452,42,0.204545,0.318182,28,0.629032,0.563815,0.886364,0.077434,2.614199,1.288691,0.315325,0.246980,0.372202,1.008692,0.264468,2.580645,7.645161,0.919355,3.814045,0,0.035337,0
42,0.124735,0.128673,0.139381,452,63,0.363636,0.613636,43,0.647177,0.614933,0.954545,0.117257,2.392982,1.242794,0.272440,0.206516,0.331214,0.979936,0.217786,2.693548,7.645161,0.919355,4.499537,0,0.100469,0
43,0.128673,0.138363,0.196903,452,89,0.681818,0.750000,64,0.627016,0.600925,0.977273,0.169248,2.483996,1.249524,0.274378,0.244527,0.331434,0.954736,0.261284,2.870968,7.629032,0.983871,3.654019,0,0.148240,0
44,0.138363,0.136991,0.086283,452,39,0.227273,0.363636,28,0.657258,0.629246,0.909091,0.074115,2.488593,1.225908,0.274275,0.254090,0.338038,0.939360,0.266308,2.645161,7.677419,0.967742,3.527343,0,0.141789,0
45,0.136991,0.148451,0.214602,452,97,0.545455,0.727273,78,0.622984,0.603549,0.931818,0.193584,2.316910,1.196929,0.238673,0.227762,0.301025,0.883331,0.231513,2.516129,7.693548,0.935484,3.815465,0,-0.066985,0
46,0.148451,0.157478,0.190265,452,86,0.590909,0.727273,60,0.659274,0.627977,0.954545,0.161504,2.529197,1.224348,0.280472,0.259838,0.345378,0.992742,0.271789,2.467742,7.725806,0.951613,3.652624,0,0.148396,0
47,0.157478,0.152345,0.048673,452,22,0.068182,0.159091,12,0.677419,0.664434,0.636364,0.037611,2.248080,1.166377,0.224275,0.204626,0.292017,0.810833,0.233097,2.548387,7.709677,0.935484,3.478525,0,-0.504252,0
48,0.152345,0.154735,0.123894,452,56,0.409091,0.545455,44,0.673387,0.633615,0.886364,0.110619,2.271178,1.171140,0.201467,0.261903,0.253963,0.730328,0.271442,2.467742,7.741935,0.919355,2.690550,0,0.233017,0
49,0.154735,0.155796,0.110619,452,50,0.386364,0.545455,36,0.685484,0.649009,0.931818,0.095133,2.431974,1.200589,0.261451,0.251525,0.315605,0.951427,0.255586,2.564516,7.645161,0.935484,3.722526,0,0.314854,0
50,0.155796,0.163496,0.176991,452,80,0.590909,0.750000,64,0.673387,0.628848,0.977273,0.159292,2.148533,1.095135,0.212932,0.222007,0.259284,0.790023,0.236092,2.806452,7.629032,0.951613,3.346253,0,0.229719,0
51,0.163496,0.182035,0.285398,452,129,0.772727,0.931818,99,0.669355,0.627384,0.977273,0.252212,2.266913,1.132989,0.236437,0.222709,0.310896,0.851105,0.224730,2.596774,7.709677,0.951613,3.787228,0,-0.030156,0
52,0.182035,0.183319,0.112832,452,51,0.477273,0.613636,31,0.665323,0.648464,0.954545,0.090708,2.251459,1.131625,0.222537,0.219704,0.292049,0.816516,0.236908,2.629032,7.661290,0.951613,3.446544,0,0.356590,0
53,0.183319,0.191239,0.179204,452,81,0.613636,0.704545,61,0.651210,0.613387,0.977273,0.157080,2.176969,1.090262,0.244989,0.190698,0.292378,0.893208,0.194901,2.645161,7.725806,0.983871,4.582890,0,0.199242,0
54,0.191239,0.200044,0.188053,452,85,0.454545,0.772727,70,0.663306,0.643510,0.977273,0.171460,2.187553,1.085620,0.206297,0.234039,0.263636,0.744685,0.255548,2.935484,7.629032,0.951613,2.914066,0,0.028946,0
55,0.200044,0.198451,0.084071,452,38,0.272727,0.454545,22,0.683468,0.644777,0.931818,0.066372,2.455491,1.156455,0.259954,0.258249,0.307642,0.931325,0.286886,2.500000,7.612903,0.919355,3.246327,0,0.239663,0
56,0.198451,0.203496,0.150442,452,68,0.522727,0.659091,45,0.693548,0.672266,0.954545,0.125000,2.165797,1.092107,0.205245,0.227898,0.255557,0.754403,0.235277,2.612903,7.709677,0.935484,3.206444,0,0.308054,0
57,0.203496,0.200796,0.073009,452,33,0.136364,0.386364,18,0.731855,0.713622,0.954545,0.056416,2.120068,1.047163,0.210697,0.216335,0.253328,0.764435,0.236986,2.645161,7.677419,0.951613,3.225652,1,0.136364,1
58,0.200796,0.209159,0.183628,452,83,0.681818,0.750000,70,0.667339,0.650872,0.931818,0.169248,2.254843,1.092910,0.212475,0.248767,0.282270,0.761675,0.265479,2.370968,7.725806,0.935484,2.869058,0,0.281982,0
59,0.209159,0.209115,0.099558,452,45,0.250000,0.409091,30,0.711694,0.691287,0.954545,0.082965,2.277277,1.099003,0.229570,0.240460,0.276296,0.832801,0.257759,2.693548,7.612903,0.967742,3.230930,1,0.250000,1
60,0.209115,0.216593,0.174779,452,79,0.704545,0.818182,56,0.691532,0.672463,0.977273,0.149336,1.992179,1.021249,0.188646,0.194942,0.231090,0.696678,0.210565,2.758065,7.677419,0.935484,3.308608,0,0.388495,0
61,0.216593,0.234912,0.283186,452,128,0.772727,0.863636,110,0.622984,0.587925,0.977273,0.263274,2.044225,1.027438,0.191887,0.199552,0.249120,0.722216,0.219802,2.629032,7.596774,0.903226,3.285754,0,-0.114048,0
62,0.234912,0.230442,0.055310,452,25,0.181818,0.272727,13,0.707661,0.705543,0.909091,0.042035,2.073410,1.034293,0.213815,0.178855,0.275879,0.775612,0.188367,2.629032,7.709677,0.919355,4.117554,1,0.181818,0
63,0.230442,0.226858,0.064159,452,29,0.250000,0.386364,24,0.752016,0.730454,0.931818,0.058628,2.050435,1.013045,0.204730,0.190868,0.257156,0.768726,0.207489,2.451613,7.677419,0.951613,3.704907,1,0.250000,0
64,0.226858,0.229912,0.130531,452,59,0.545455,0.727273,39,0.703629,0.677336,0.954545,0.108407,2.190021,1.050655,0.210440,0.231136,0.268554,0.770687,0.254399,2.693548,7.645161,0.935484,3.029447,1,0.423331,1
65,0.229912,0.227212,0.073009,452,33,0.136364,0.477273,22,0.737903,0.724359,0.931818,0.060841,1.996580,0.994064,0.183130,0.210632,0.227184,0.682789,0.224590,2.629032,7.661290,0.935484,3.040163,1,0.136364,0
66,0.227212,0.223407,0.061947,452,28,0.204545,0.386364,19,0.737903,0.726135,0.931818,0.051991,2.002708,0.971628,0.211664,0.180057,0.275826,0.764093,0.189921,2.580645,7.645161,0.919355,4.023223,1,0.204545,0
67,0.223407,0.236195,0.227876,452,103,0.727273,0.863636,86,0.608871,0.586451,1.000000,0.209071,2.102669,1.006273,0.210904,0.214570,0.277337,0.768797,0.221831,2.580645,7.693548,0.935484,3.465690,0,0.033510,0
68,0.236195,0.239690,0.134956,452,61,0.659091,0.795455,45,0.713710,0.702492,0.954545,0.117257,2.060900,1.019702,0.195703,0.204383,0.246970,0.729380,0.221866,2.451613,7.725806,0.935484,3.287477,1,0.519268,1
69,0.239690,0.237212,0.075221,452,34,0.250000,0.454545,20,0.760081,0.748221,0.954545,0.059735,1.827229,0.935937,0.165919,0.171177,0.221646,0.620397,0.183847,2.596774,7.693548,0.903226,3.374518,1,0.250000,0
70,0.237212,0.246681,0.194690,452,88,0.772727,0.840909,74,0.691532,0.663823,0.977273,0.179204,2.110211,0.995951,0.199578,0.223393,0.278578,0.742246,0.236641,2.548387,7.693548,0.983871,3.136597,0,0.377031,0
