path,kind,sha256,size_bytes,generator_script,link_method,evidence_level,evidence_provenance,split,claim_boundary,overleaf_ready,overleaf_blockers,committed
results/cross_architecture/gru/gru_seed42_fall_binary_metrics.csv,csv,45f2c4842640a60bd145b81a027d8179423af4c6b49a336bdfeb5e03db8e6123,289,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_fgsm_epsilon_sweep_legacy.csv,csv,01528b60cf2b37806c25fc6e748d324a305c51e92a3bebe2cef020b58fdf325f,2583,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_fgsm_epsilon_sweep_test.csv,csv,a9d17d5e60826958f17de14f31411357eb43cac0d2223afa756891a87d2c77ad,2526,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_fgsm_predictions_legacy_epsilon_0_03.csv,predictions,907a0a8ecd2ac9fba4d65b6d7d9a8c9f72c47844476c6143741bbb8e1bbb0ef2,68226,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_fgsm_predictions_test_epsilon_0_03.csv,predictions,26e6b437a9adf80a40e4a63fd751c5124a96536eee06cf21e389e81d200ba5e2,34338,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_fgsm_safety_metrics_legacy_epsilon_0_03.csv,csv,9ce8cedb3415611909796fe65aab7ee13d0920128587aadcb1cdfc1008e60b4d,478,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_fgsm_safety_metrics_test_epsilon_0_03.csv,csv,7963730d25a62cf293f0c27feada8895831d7e2c2b748858ecabc0d770cbae82,474,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_fgsm_sweep_predictions_legacy.csv,predictions,330fb0652be5b2567f8daad47666d4fff8a93717d8f2a0a0082d084dab45c1a0,1220208,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_fgsm_sweep_predictions_test.csv,predictions,f38ae3815e0c0db1f90d89713deb1518ca93f034747816596ca79b89800c604d,611289,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_legacy_eval_fall_binary_metrics.csv,csv,c74df3efdfbefaf36bd2ea687c1137e6e591fee6e94a095b792030cc389a8af7,289,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
