epoch,train_loss,mean_motion_margin,mean_fall_margin,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
23,1.916497,0.365208,0.245107,0.604839,0.528561,0.909091,0.318182,0.181818,53,66,0.131637,0.418654,0,0,0,0,1
24,1.839660,0.329447,0.212624,0.598790,0.541749,0.954545,0.704545,0.500000,85,103,0.207965,0.608749,0,0,0,0,1
25,1.799346,0.305575,0.253239,0.590726,0.554463,0.954545,0.704545,0.500000,105,117,0.245575,0.604988,0,0,0,0,1
26,1.841421,0.304499,0.322457,0.598790,0.524831,0.818182,0.045455,0.022727,29,41,0.077434,0.293393,0,0,0,0,0
27,1.805545,0.291684,0.281933,0.572581,0.531411,0.954545,0.636364,0.500000,114,153,0.295354,0.593192,0,0,0,0,0
28,1.906153,0.351200,0.233433,0.572581,0.522630,0.977273,0.931818,0.863636,143,172,0.348451,0.789019,0,0,0,0,0
29,1.702334,0.301365,0.200454,0.610887,0.543813,0.954545,0.681818,0.386364,85,98,0.202434,0.555893,0,0,0,0,0
30,1.649933,0.249727,0.235391,0.590726,0.515428,0.954545,0.636364,0.568182,82,102,0.203540,0.633055,0,0,0,0,0
31,1.581072,0.248445,0.188065,0.663306,0.626371,0.977273,0.568182,0.386364,64,75,0.153761,0.557351,0,0,0,0,1
32,1.688192,0.313933,0.215196,0.556452,0.533426,0.954545,0.886364,0.818182,160,185,0.381637,0.752745,0,0,0,0,0
33,1.640239,0.298830,0.175460,0.612903,0.565143,0.954545,0.772727,0.613636,100,121,0.244469,0.663053,0,0,0,0,0
34,1.647651,0.296397,0.214417,0.637097,0.618128,0.977273,0.818182,0.704545,100,127,0.251106,0.715798,0,0,0,0,0
35,1.710052,0.342151,0.214229,0.594758,0.526342,0.977273,0.772727,0.590909,95,121,0.238938,0.661333,0,0,0,0,0
36,1.517468,0.278105,0.147760,0.667339,0.650301,0.954545,0.454545,0.204545,71,97,0.185841,0.453007,0,0,0,0,1
37,1.594171,0.255485,0.262361,0.655242,0.631779,0.931818,0.386364,0.068182,34,45,0.087389,0.386716,0,0,0,0,0
38,1.427251,0.209295,0.159659,0.653226,0.622320,0.954545,0.818182,0.681818,110,144,0.280973,0.694630,0,0,0,0,0
39,1.580824,0.279051,0.220483,0.717742,0.707406,0.931818,0.363636,0.113636,48,62,0.121681,0.401468,1,1,1,1,1
40,1.408667,0.239489,0.156015,0.647177,0.620534,0.954545,0.772727,0.590909,103,132,0.259956,0.651277,0,0,0,0,0
41,1.562231,0.322201,0.189008,0.673387,0.629741,0.954545,0.386364,0.181818,40,57,0.107301,0.443815,0,0,0,0,0
42,1.495592,0.247101,0.176824,0.669355,0.643661,0.954545,0.840909,0.750000,115,144,0.286504,0.727031,0,0,0,0,0
43,1.582663,0.256611,0.272618,0.713710,0.692704,0.977273,0.795455,0.659091,75,105,0.199115,0.698270,1,1,1,0,0
44,1.446209,0.238428,0.189533,0.665323,0.653251,0.977273,0.886364,0.795455,117,152,0.297566,0.758880,0,0,0,0,0
45,1.396623,0.231770,0.163157,0.709677,0.682150,0.954545,0.636364,0.409091,53,81,0.148230,0.566995,1,0,0,0,0
46,1.451477,0.255651,0.194225,0.673387,0.640943,0.977273,0.886364,0.795455,83,106,0.209071,0.767729,0,0,0,0,0
47,1.364161,0.211284,0.169527,0.705645,0.673314,0.954545,0.386364,0.181818,34,47,0.089602,0.445585,1,0,0,1,0
48,1.370394,0.228521,0.173613,0.729839,0.714852,0.954545,0.772727,0.613636,76,115,0.211283,0.666372,1,0,0,0,1
49,1.486173,0.241355,0.216178,0.675403,0.642156,0.954545,0.886364,0.795455,102,139,0.266593,0.754023,0,0,0,0,0
50,1.292070,0.206173,0.152934,0.691532,0.680502,0.977273,0.750000,0.500000,86,106,0.212389,0.620807,0,0,0,0,0
51,1.407889,0.228379,0.195879,0.711694,0.669304,0.977273,0.363636,0.159091,37,54,0.100664,0.439934,1,0,0,0,0
52,1.495492,0.275176,0.209101,0.645161,0.593882,0.954545,0.727273,0.500000,63,94,0.173673,0.614451,0,0,0,0,0
53,1.448348,0.271715,0.181405,0.685484,0.650810,0.954545,0.795455,0.659091,91,104,0.215708,0.688656,0,0,0,0,0
54,1.224352,0.155298,0.172375,0.745968,0.735987,0.954545,0.454545,0.227273,37,56,0.102876,0.471531,1,0,0,0,1
55,1.425294,0.267724,0.178349,0.701613,0.665119,0.977273,0.613636,0.318182,45,71,0.128319,0.533759,1,0,0,0,0
56,1.393076,0.228195,0.203365,0.737903,0.714551,0.954545,0.636364,0.431818,46,67,0.125000,0.579545,1,0,0,0,0
57,1.310180,0.225443,0.160577,0.758065,0.719019,0.931818,0.431818,0.068182,42,67,0.120575,0.387942,1,0,0,0,0
58,1.361723,0.208525,0.230120,0.750000,0.737211,0.977273,0.818182,0.681818,76,97,0.191372,0.711545,1,1,1,0,1
59,1.259417,0.206065,0.145628,0.764113,0.745768,0.977273,0.590909,0.250000,43,66,0.120575,0.501579,1,0,0,0,1
60,1.125636,0.162527,0.132535,0.770161,0.750403,0.954545,0.750000,0.477273,62,73,0.149336,0.608930,1,0,0,0,1
61,1.343730,0.244098,0.196496,0.772177,0.756419,0.954545,0.568182,0.295455,37,53,0.099558,0.513908,1,0,0,0,1
62,1.179497,0.189941,0.147342,0.754032,0.743393,0.977273,0.818182,0.636364,57,68,0.138274,0.696400,1,0,0,0,0
63,1.168551,0.216979,0.113970,0.756048,0.742783,0.954545,0.795455,0.545455,72,88,0.176991,0.641392,1,0,0,0,0
64,1.255909,0.200287,0.169409,0.743952,0.734810,0.931818,0.500000,0.250000,39,66,0.116150,0.477021,1,0,0,0,0
65,1.223005,0.190691,0.183091,0.772177,0.760446,0.977273,0.795455,0.477273,60,84,0.159292,0.620434,1,0,0,0,1
66,1.249106,0.213384,0.177075,0.762097,0.757762,0.954545,0.772727,0.545455,51,70,0.133850,0.643433,1,0,0,0,0
67,1.168898,0.175814,0.140838,0.745968,0.688389,0.977273,0.795455,0.681818,75,109,0.203540,0.708055,1,0,0,0,0
68,1.223975,0.209863,0.182509,0.745968,0.715846,0.954545,0.522727,0.204545,36,60,0.106195,0.467790,1,0,0,0,0
69,1.208802,0.185329,0.174340,0.754032,0.737595,0.977273,0.772727,0.522727,61,75,0.150442,0.639501,1,0,0,0,0
70,1.328457,0.243055,0.196363,0.756048,0.732005,0.954545,0.863636,0.727273,78,106,0.203540,0.727373,1,1,1,0,0
