attack_type,epsilon,attacked_accuracy,missed_fall_rate_fnr,false_positive_rate_fpr,safety_priority_score_10_to_1,tp,fn,fp,tn,total_windows,total_fall_windows,total_nonfall_windows,prediction_file,alpha,pgd_steps,interpretation
PGD,0.012500,0.107430,1.000000,0.099228,10.099228,0,89,90,817,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_0125.csv,0.002083,10,"PGD at epsilon=0.012500: FNR=1.000, FPR=0.099, score10=10.099, accuracy=0.107."
PGD,0.015000,0.070281,1.000000,0.104741,10.104741,0,89,95,812,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_015.csv,0.002500,10,"PGD at epsilon=0.015000: FNR=1.000, FPR=0.105, score10=10.105, accuracy=0.070."
PGD,0.017500,0.030120,1.000000,0.111356,10.111356,0,89,101,806,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_0175.csv,0.002917,10,"PGD at epsilon=0.017500: FNR=1.000, FPR=0.111, score10=10.111, accuracy=0.030."
PGD,0.020000,0.013052,1.000000,0.122381,10.122381,0,89,111,796,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_02.csv,0.003333,10,"PGD at epsilon=0.020000: FNR=1.000, FPR=0.122, score10=10.122, accuracy=0.013."
PGD,0.025000,0.003012,1.000000,0.126792,10.126792,0,89,115,792,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_025.csv,0.004167,10,"PGD at epsilon=0.025000: FNR=1.000, FPR=0.127, score10=10.127, accuracy=0.003."
PGD,0.030000,0.000000,1.000000,0.126792,10.126792,0,89,115,792,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_03.csv,0.005000,10,"PGD at epsilon=0.030000: FNR=1.000, FPR=0.127, score10=10.127, accuracy=0.000."
PGD,0.035000,0.000000,1.000000,0.127894,10.127894,0,89,116,791,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_035.csv,0.005833,10,"PGD at epsilon=0.035000: FNR=1.000, FPR=0.128, score10=10.128, accuracy=0.000."
PGD,0.040000,0.000000,1.000000,0.127894,10.127894,0,89,116,791,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_04.csv,0.006667,10,"PGD at epsilon=0.040000: FNR=1.000, FPR=0.128, score10=10.128, accuracy=0.000."
PGD,0.050000,0.000000,1.000000,0.136714,10.136714,0,89,124,783,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_05.csv,0.008333,10,"PGD at epsilon=0.050000: FNR=1.000, FPR=0.137, score10=10.137, accuracy=0.000."
PGD,0.075000,0.000000,1.000000,0.159868,10.159868,0,89,145,762,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_075.csv,0.012500,10,"PGD at epsilon=0.075000: FNR=1.000, FPR=0.160, score10=10.160, accuracy=0.000."
