epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,weights_active,mean_w_fall,mean_w_nonfall,mean_mu_fall,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
48,1.898521,1.122650,0.177346,0.352022,0.246503,1,1.401018,0.953866,0.270337,0.731855,0.730865,0.954545,0.318182,0.113636,23,29,0.057522,0.411293,1,0,0,1,1
49,2.119797,1.188226,0.226355,0.400930,0.304285,1,1.469066,0.950629,0.239913,0.727823,0.719265,0.886364,0.386364,0.136364,26,37,0.069690,0.403258,1,0,0,0,0
50,1.717914,1.066812,0.165076,0.256915,0.229111,1,1.318255,0.955813,0.374689,0.743952,0.741720,0.977273,0.409091,0.159091,37,54,0.100664,0.444479,1,0,0,0,1
51,2.026942,1.159472,0.192601,0.386784,0.288084,1,1.393696,0.955230,0.220005,0.701613,0.688790,0.977273,0.750000,0.500000,62,81,0.158186,0.626227,1,1,1,0,0
52,1.804450,1.102193,0.165875,0.302140,0.234243,1,1.320628,0.954091,0.398072,0.731855,0.728012,0.886364,0.272727,0.159091,15,29,0.048673,0.404224,1,0,0,1,0
53,1.831790,1.081732,0.172441,0.327484,0.250134,1,1.412865,0.951874,0.356771,0.752016,0.748924,0.931818,0.113636,0.068182,17,20,0.040929,0.364089,1,0,0,0,1
54,1.578259,1.003561,0.134545,0.239755,0.200398,1,1.289344,0.956405,0.509820,0.758065,0.751635,0.931818,0.272727,0.068182,21,37,0.064159,0.377675,1,0,0,0,1
55,1.972627,1.121944,0.187946,0.408162,0.254575,1,1.451211,0.949647,0.233297,0.741935,0.735215,0.931818,0.454545,0.250000,47,59,0.117257,0.472365,1,0,0,0,0
56,1.961037,1.126380,0.196396,0.376609,0.261652,1,1.408001,0.947603,0.370532,0.752016,0.747590,0.909091,0.431818,0.318182,30,43,0.080752,0.496470,1,0,0,0,0
57,1.731762,1.042592,0.174382,0.278058,0.236730,1,1.403983,0.956452,0.446535,0.727823,0.706875,0.954545,0.818182,0.681818,76,104,0.199115,0.702816,1,1,1,0,0
58,1.790474,1.059640,0.161231,0.334139,0.235464,1,1.327749,0.957424,0.422309,0.727823,0.719411,0.954545,0.590909,0.454545,53,70,0.136062,0.584121,1,0,0,0,0
59,1.891274,1.077315,0.186355,0.371272,0.256333,1,1.444962,0.952813,0.332632,0.762097,0.769933,0.886364,0.250000,0.068182,10,16,0.028761,0.363033,1,0,0,0,1
60,1.689092,1.015165,0.148960,0.290246,0.234722,1,1.415040,0.957135,0.497667,0.770161,0.763472,0.931818,0.500000,0.250000,38,55,0.102876,0.478349,1,0,0,0,0
61,1.690545,1.006355,0.161721,0.307790,0.214678,1,1.367281,0.951709,0.433563,0.770161,0.754678,0.931818,0.568182,0.386364,41,48,0.098451,0.546973,1,0,0,0,0
62,1.590799,0.971689,0.153915,0.245374,0.219821,1,1.313288,0.959616,0.659186,0.758065,0.750093,0.909091,0.272727,0.181818,16,29,0.049779,0.422295,1,0,0,1,0
63,1.729956,1.010678,0.175525,0.301365,0.242387,1,1.348166,0.957973,0.576190,0.733871,0.730608,0.954545,0.340909,0.181818,56,66,0.134956,0.436504,1,0,0,0,0
64,1.915648,1.056098,0.185642,0.392363,0.281545,1,1.490304,0.954644,0.309855,0.764113,0.756130,0.954545,0.431818,0.204545,23,39,0.068584,0.462460,1,0,0,0,0
65,1.527942,0.940863,0.133237,0.268178,0.185663,1,1.384932,0.958983,0.525471,0.784274,0.765786,0.954545,0.590909,0.340909,45,61,0.117257,0.534865,1,0,0,0,0
66,1.721517,0.978007,0.190001,0.295241,0.258269,1,1.330802,0.961561,0.551477,0.758065,0.749422,0.977273,0.704545,0.590909,56,75,0.144912,0.663918,1,0,0,0,0
67,1.624211,0.988215,0.153769,0.266565,0.215662,1,1.400061,0.956477,0.476206,0.802419,0.795428,0.931818,0.409091,0.136364,30,40,0.077434,0.420666,1,0,0,0,1
68,1.597861,0.963794,0.153214,0.264040,0.216813,1,1.393752,0.962771,0.548280,0.786290,0.778924,0.977273,0.477273,0.272727,31,34,0.071903,0.505310,1,0,0,0,0
69,1.513449,0.910885,0.147482,0.243609,0.211473,1,1.287480,0.963314,0.598758,0.802419,0.796617,0.954545,0.431818,0.250000,24,41,0.071903,0.482582,1,0,0,0,1
70,1.829456,1.006536,0.189828,0.374450,0.258643,1,1.449999,0.945943,0.334188,0.792339,0.787582,0.954545,0.409091,0.250000,30,38,0.075221,0.479978,1,0,0,0,0
