seed,epoch,val_clean_acc,val_clean_macro_f1,val_pgd_recall,val_pgd_false_alarms,safety_score,mean_motion_penalty,is_priorE_safety,is_v2safety,is_v2lowFA,is_macroF1
42,41,0.818548,0.804741,0.090909,66,0.402243,0.062904,0,0,0,0
42,42,0.858871,0.838692,0.113636,63,0.409393,0.073459,0,0,0,0
42,43,0.860887,0.841272,0.000000,35,0.356527,0.082625,0,0,0,0
42,44,0.820565,0.823901,0.000000,40,0.332472,0.062279,0,0,0,0
42,45,0.824597,0.813431,0.022727,29,0.346269,0.062282,0,0,0,0
42,46,0.774194,0.766347,0.022727,51,0.346028,0.074208,0,0,0,0
42,47,0.846774,0.837128,0.022727,38,0.354948,0.052122,0,0,0,0
42,48,0.842742,0.827540,0.045455,48,0.389903,0.067417,0,0,0,0
42,49,0.790323,0.768768,0.250000,122,0.496309,0.066841,0,0,0,0
42,50,0.856855,0.836792,0.000000,32,0.341864,0.046490,0,0,0,0
42,51,0.828629,0.818713,0.022727,29,0.337761,0.065756,0,0,0,0
42,52,0.808468,0.800564,0.113636,67,0.431014,0.061842,0,0,0,0
42,53,0.854839,0.827482,0.068182,63,0.392790,0.066462,0,0,0,0
42,54,0.872984,0.852938,0.000000,33,0.340839,0.052291,0,0,0,0
42,55,0.806452,0.804648,0.022727,39,0.348240,0.064144,0,0,0,0
42,56,0.858871,0.851391,0.386364,101,0.565396,0.059842,1,1,0,0
42,57,0.862903,0.837978,0.113636,54,0.411746,0.071681,0,0,0,0
42,58,0.854839,0.838220,0.250000,79,0.475503,0.070508,0,0,0,0
42,59,0.846774,0.832577,0.068182,51,0.404012,0.064154,0,0,0,0
42,60,0.830645,0.787974,0.204545,62,0.435640,0.051092,0,0,0,0
42,61,0.846774,0.829070,0.204545,62,0.466794,0.064159,0,0,0,0
42,62,0.854839,0.836809,0.045455,41,0.384966,0.060152,0,0,0,0
42,63,0.868952,0.862692,0.068182,34,0.388345,0.048056,0,0,0,0
42,64,0.836694,0.830907,0.136364,52,0.435026,0.060801,0,0,1,0
42,65,0.858871,0.833134,0.181818,72,0.450915,0.049494,0,0,0,0
42,66,0.875000,0.871173,0.000000,13,0.330632,0.058324,0,0,0,1
42,67,0.848790,0.837627,0.068182,62,0.399165,0.056682,0,0,0,0
42,68,0.828629,0.824390,0.068182,50,0.395585,0.057428,0,0,0,0
42,69,0.848790,0.855973,0.090909,54,0.396973,0.051526,0,0,0,0
42,70,0.842742,0.835131,0.250000,60,0.500080,0.064537,0,0,0,0
43,1,0.294355,0.064976,0.000000,0,0.000000,0.128111,0,0,0,0
43,2,0.294355,0.064976,0.000000,0,0.000000,0.123276,0,0,0,0
43,3,0.294355,0.064976,0.000000,0,0.000000,0.121123,0,0,0,0
43,4,0.308468,0.089084,0.000000,0,0.000000,0.120726,0,0,0,0
43,5,0.358871,0.171598,0.000000,0,0.000000,0.118466,0,0,0,0
43,6,0.393145,0.238526,0.000000,1,-0.000553,0.114119,0,0,0,0
43,7,0.493952,0.369839,0.000000,23,0.100201,0.112341,0,0,0,0
43,8,0.506048,0.402393,0.000000,1,0.007844,0.112739,0,0,0,0
43,9,0.512097,0.394796,0.000000,0,0.023864,0.114796,0,0,0,0
