epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,topk_budget_selected,topk_rescue_selected,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
42,3.298239,1.784190,0.040200,0.881301,0.045533,0.144268,0.949763,7.725806,1.032258,0.497984,0.401325,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
43,3.324177,1.738957,0.055321,0.894829,0.060638,0.180617,0.968247,7.741935,1.112903,0.528226,0.402414,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
44,3.283440,1.684653,0.067643,0.859231,0.070345,0.228352,0.974786,7.645161,1.080645,0.485887,0.329960,0.022727,0.000000,0.000000,0,0,0.000000,0.007955,0,0,0,0,0
45,3.268866,1.646772,0.078554,0.852302,0.078925,0.255665,0.968961,7.612903,1.209677,0.560484,0.508962,0.181818,0.090909,0.068182,3,4,0.007743,0.102635,0,0,0,0,1
46,3.280710,1.635821,0.081864,0.851012,0.084544,0.272257,0.982681,7.612903,1.177419,0.493952,0.399543,0.113636,0.000000,0.000000,1,1,0.002212,0.039551,0,0,0,0,0
47,3.138800,1.576371,0.079502,0.794108,0.079505,0.269375,0.949253,7.693548,1.096774,0.542339,0.474090,0.295455,0.090909,0.068182,9,12,0.023230,0.140859,0,0,0,0,0
48,3.132289,1.597749,0.086473,0.767336,0.090909,0.289099,0.890545,7.725806,1.080645,0.562500,0.525323,0.295455,0.204545,0.136364,12,14,0.028761,0.182351,0,0,0,0,1
49,3.210052,1.573185,0.089288,0.809888,0.098354,0.308156,0.970519,7.612903,1.209677,0.544355,0.496169,0.272727,0.181818,0.136364,9,16,0.027655,0.172235,0,0,0,0,0
50,2.863152,1.486642,0.095529,0.604632,0.110291,0.330714,0.801400,7.709677,0.983871,0.534274,0.451722,0.318182,0.159091,0.136364,14,15,0.032080,0.185428,0,0,0,0,0
51,3.063276,1.502509,0.098437,0.709752,0.132079,0.353777,0.887223,7.725806,1.032258,0.556452,0.513599,0.318182,0.204545,0.181818,26,28,0.059735,0.207663,0,0,0,0,0
52,3.011078,1.490325,0.110202,0.665359,0.118954,0.373586,0.878891,7.612903,1.096774,0.560484,0.530359,0.250000,0.045455,0.045455,4,5,0.009956,0.111504,0,0,0,0,1
53,2.834339,1.432479,0.088846,0.624649,0.108811,0.317325,0.841785,7.725806,1.064516,0.600806,0.569282,0.500000,0.227273,0.159091,20,27,0.051991,0.264119,0,0,0,0,1
54,2.634289,1.346151,0.093775,0.517372,0.132108,0.343791,0.745973,7.612903,1.096774,0.580645,0.584559,0.477273,0.090909,0.045455,7,11,0.019912,0.194600,0,0,0,0,1
55,2.980257,1.401858,0.154521,0.588356,0.185048,0.498760,0.802189,7.612903,1.145161,0.582661,0.548112,0.295455,0.090909,0.068182,8,11,0.021018,0.141080,0,0,0,0,0
56,2.857531,1.366196,0.119962,0.580216,0.149977,0.423265,0.859094,7.693548,1.096774,0.665323,0.642260,0.818182,0.318182,0.113636,30,40,0.077434,0.361575,0,0,0,0,1
57,2.613709,1.310354,0.112432,0.482970,0.145150,0.400869,0.724736,7.693548,1.096774,0.701613,0.681460,0.954545,0.431818,0.181818,40,63,0.113938,0.447697,1,1,1,1,1
58,2.610092,1.246113,0.141888,0.419196,0.200032,0.525873,0.679851,7.693548,1.048387,0.677419,0.662931,0.954545,0.568182,0.272727,33,62,0.105088,0.503128,0,0,0,0,0
59,2.771076,1.258949,0.159147,0.478625,0.216008,0.564592,0.752102,7.612903,1.145161,0.673387,0.663694,0.886364,0.272727,0.159091,14,26,0.044248,0.404666,0,0,0,0,0
60,2.473431,1.190783,0.148200,0.345144,0.223304,0.521466,0.610532,7.741935,1.161290,0.707661,0.694049,0.954545,0.431818,0.250000,33,58,0.100664,0.479706,1,1,1,1,1
61,2.472204,1.192197,0.148845,0.357707,0.194931,0.546190,0.610857,7.693548,1.048387,0.707661,0.679999,0.977273,0.704545,0.522727,58,87,0.160398,0.631687,1,1,1,0,0
62,2.311739,1.125649,0.141003,0.299316,0.189629,0.527525,0.584760,7.629032,1.145161,0.699597,0.695172,0.954545,0.545455,0.318182,37,59,0.106195,0.521199,0,0,0,0,1
63,2.524190,1.160665,0.163450,0.357013,0.220805,0.603131,0.641383,7.612903,1.129032,0.719758,0.714378,0.931818,0.295455,0.159091,24,40,0.070796,0.420193,1,0,0,1,1
64,2.704087,1.211732,0.159550,0.471537,0.226920,0.560978,0.707716,7.677419,1.145161,0.713710,0.698629,0.954545,0.681818,0.454545,49,65,0.126106,0.594208,1,0,0,0,0
65,2.250697,1.104421,0.120194,0.338246,0.175101,0.436889,0.588583,7.774194,1.080645,0.733871,0.725267,0.977273,0.636364,0.409091,46,78,0.137168,0.576056,1,0,0,0,1
66,2.378983,1.115579,0.151242,0.331623,0.210000,0.566987,0.574089,7.677419,1.161290,0.689516,0.667637,0.954545,0.681818,0.431818,62,88,0.165929,0.579998,0,0,0,0,0
67,2.406372,1.131145,0.161013,0.341800,0.201622,0.585301,0.556282,7.709677,1.064516,0.735887,0.713201,0.931818,0.272727,0.113636,17,35,0.057522,0.398793,1,0,0,1,0
68,2.307326,1.117809,0.129088,0.351993,0.179015,0.479753,0.579090,7.709677,1.129032,0.721774,0.701242,0.909091,0.227273,0.090909,18,32,0.055310,0.376287,1,0,0,0,0
69,2.172194,1.063508,0.137355,0.281835,0.185400,0.515226,0.492965,7.645161,1.096774,0.733871,0.731150,0.954545,0.386364,0.181818,25,43,0.075221,0.447023,1,0,0,0,1
70,2.469458,1.107451,0.160862,0.358779,0.228030,0.602352,0.626321,7.612903,1.193548,0.725806,0.723656,0.954545,0.522727,0.340909,24,46,0.077434,0.532029,1,0,0,0,0
