family,candidate,split,condition,epsilon,far_cap,auroc,recall,FAR,TP,FN,FP,TN,threshold,target_recall_ge_0_80,n_rows,n_fall,n_nonfall,unique_scores,score_column,score_file,note,warnings
BiLSTM G1 validation seed42,BLF_v2macroF1 (seed42),val,pgd,0.03,0.2,0.7257139983909895,0.25,0.1836283185840708,11,33,83,369,0.160894,false,496,44,452,494,fall_probability,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only representation test,
BiLSTM G1 validation seed42,BLF_v2safety (seed42),val,pgd,0.03,0.2,0.7104283990345938,0.22727272727272727,0.1902654867256637,10,34,86,366,0.160513,false,496,44,452,495,fall_probability,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2safety_pgd_probabilities_val_epsilon_0_03.csv,validation-only representation test,
BiLSTM G1 validation seed42,BLF_v2maxrec (seed42),val,pgd,0.03,0.2,0.6916230893000804,0.09090909090909091,0.14823008849557523,4,40,67,385,0.260799,false,496,44,452,495,fall_probability,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2maxrec_pgd_probabilities_val_epsilon_0_03.csv,validation-only representation test,
Option B/Gate reference seed42,B_G1lowFA (seed42),test,pgd,0.03,0.1,0.8327716727716727,0.35555555555555557,0.0989010989010989,16,29,45,410,0.194624,false,500,45,455,465,fall_probability,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/B_G1lowFA_pgd_probabilities_test_epsilon_0_03.csv,earlier gate probability exports,
Variant G/G1 seed42,G_G1_v2lowFA (seed42),test,pgd,0.03,0.1,0.8327716727716727,0.35555555555555557,0.0989010989010989,16,29,45,410,0.194624,false,500,45,455,465,fall_probability,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,G1 seed42 test score export,
Option B seed42,optionB_maxrec (seed42),test,pgd,0.03,0.1,0.8397557997557997,0.3333333333333333,0.0945054945054945,15,30,43,412,0.298797,false,500,45,455,460,fall_probability,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxrec_pgd_probabilities_test_epsilon_0_03.csv,maxrec/maxscore/minFA test score exports,
Option B seed42,optionB_maxscore (seed42),test,pgd,0.03,0.1,0.8439072039072039,0.26666666666666666,0.08351648351648351,12,33,38,417,0.2521,false,500,45,455,470,fall_probability,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,maxrec/maxscore/minFA test score exports,
Option B seed42,optionB_minFA (seed42),test,pgd,0.03,0.1,0.8253968253968254,0.24444444444444444,0.08791208791208792,11,34,40,415,0.186165,false,500,45,455,464,fall_probability,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_pgd_probabilities_test_epsilon_0_03.csv,maxrec/maxscore/minFA test score exports,
Option B/Gate reference seed42,B_optBminFA (seed42),test,pgd,0.03,0.1,0.8253968253968254,0.24444444444444444,0.08791208791208792,11,34,40,415,0.186165,false,500,45,455,464,fall_probability,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/B_optBminFA_pgd_probabilities_test_epsilon_0_03.csv,earlier gate probability exports,
Variant G/G1 seed44,G_G1_v2safety (seed44),test,pgd,0.03,0.1,0.8378998778998779,0.2222222222222222,0.0945054945054945,10,35,43,412,0.348522,false,500,45,455,479,fall_probability,results/safety_guided_defense/variantG_targeted_hardneg/seed44/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,primary G1 test score export,
Variant F seed44 reference,F_lamM1p0_lamF1p0_v2lowFA (seed44),test,pgd,0.03,0.1,0.7722588522588523,0.17777777777777778,0.09010989010989011,8,37,41,414,0.333135,false,500,45,455,489,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed44/test_eval/F_lamM1p0_lamF1p0_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Variant F seed42 reference,F_lamM1p0_lamF0p5_v2lowFA (seed42),test,pgd,0.03,0.1,0.8097680097680098,0.17777777777777778,0.0989010989010989,8,37,45,410,0.227668,false,500,45,455,483,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF0p5_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Option B/Gate reference seed42,R_G1maxrec (seed42),test,pgd,0.03,0.1,0.8044932844932845,0.15555555555555556,0.08351648351648351,7,38,38,417,0.329927,false,500,45,455,484,fall_probability,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/R_G1maxrec_pgd_probabilities_test_epsilon_0_03.csv,earlier gate probability exports,
Variant G/G1 seed42,G_G1_v2maxrec (seed42),test,pgd,0.03,0.1,0.8044932844932845,0.15555555555555556,0.08351648351648351,7,38,38,417,0.329927,false,500,45,455,484,fall_probability,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2maxrec_pgd_probabilities_test_epsilon_0_03.csv,G1 seed42 test score export,
Variant G/G1 seed42,G_G1_v2safety (seed42),test,pgd,0.03,0.1,0.8044932844932845,0.15555555555555556,0.08351648351648351,7,38,38,417,0.329927,false,500,45,455,484,fall_probability,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,G1 seed42 test score export,
Variant F seed42 reference,F_lamM1p0_lamF1p0_v2lowFA (seed42),test,pgd,0.03,0.1,0.7761172161172161,0.08888888888888889,0.08351648351648351,4,41,38,417,0.455129,false,500,45,455,490,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF1p0_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Variant F seed42 reference,F_lamM1p0_lamF1p0_v2safety (seed42),test,pgd,0.03,0.1,0.7694749694749695,0.08888888888888889,0.09010989010989011,4,41,41,414,0.554922,false,500,45,455,489,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF1p0_v2safety_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Variant F seed44 reference,F_lamM1p0_lamF1p0_v2safety (seed44),test,pgd,0.03,0.1,0.7481318681318682,0.044444444444444446,0.01978021978021978,2,43,9,446,0.634303,false,500,45,455,491,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed44/test_eval/F_lamM1p0_lamF1p0_v2safety_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Variant F seed42 reference,F_lamM1p0_lamF0p5_v2safety (seed42),test,pgd,0.03,0.1,0.7298168498168498,0.022222222222222223,0.06813186813186813,1,44,31,424,0.730556,false,500,45,455,474,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF0p5_v2safety_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Option B seed42,optionB_maxscore (seed42),test,pgd,0.03,0.2,0.8439072039072039,0.8,0.2,36,9,91,364,0.153246,true,500,45,455,470,fall_probability,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,maxrec/maxscore/minFA test score exports,
Variant G/G1 seed44,G_G1_v2safety (seed44),test,pgd,0.03,0.2,0.8378998778998779,0.6888888888888889,0.18681318681318682,31,14,85,370,0.234601,false,500,45,455,479,fall_probability,results/safety_guided_defense/variantG_targeted_hardneg/seed44/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,primary G1 test score export,
Option B seed42,optionB_maxrec (seed42),test,pgd,0.03,0.2,0.8397557997557997,0.6666666666666666,0.17582417582417584,30,15,80,375,0.229193,false,500,45,455,460,fall_probability,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxrec_pgd_probabilities_test_epsilon_0_03.csv,maxrec/maxscore/minFA test score exports,
Option B/Gate reference seed42,B_G1lowFA (seed42),test,pgd,0.03,0.2,0.8327716727716727,0.6444444444444445,0.1934065934065934,29,16,88,367,0.087811,false,500,45,455,465,fall_probability,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/B_G1lowFA_pgd_probabilities_test_epsilon_0_03.csv,earlier gate probability exports,
Variant G/G1 seed42,G_G1_v2lowFA (seed42),test,pgd,0.03,0.2,0.8327716727716727,0.6444444444444445,0.1934065934065934,29,16,88,367,0.087811,false,500,45,455,465,fall_probability,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,G1 seed42 test score export,
Option B seed42,optionB_minFA (seed42),test,pgd,0.03,0.2,0.8253968253968254,0.6444444444444445,0.1956043956043956,29,16,89,366,0.093825,false,500,45,455,464,fall_probability,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_pgd_probabilities_test_epsilon_0_03.csv,maxrec/maxscore/minFA test score exports,
Option B/Gate reference seed42,B_optBminFA (seed42),test,pgd,0.03,0.2,0.8253968253968254,0.6444444444444445,0.1956043956043956,29,16,89,366,0.093825,false,500,45,455,464,fall_probability,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/B_optBminFA_pgd_probabilities_test_epsilon_0_03.csv,earlier gate probability exports,
Variant F seed42 reference,F_lamM1p0_lamF0p5_v2lowFA (seed42),test,pgd,0.03,0.2,0.8097680097680098,0.6222222222222222,0.2,28,17,91,364,0.098716,false,500,45,455,483,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF0p5_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Option B/Gate reference seed42,R_G1maxrec (seed42),test,pgd,0.03,0.2,0.8044932844932845,0.5111111111111111,0.1978021978021978,23,22,90,365,0.264093,false,500,45,455,484,fall_probability,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/R_G1maxrec_pgd_probabilities_test_epsilon_0_03.csv,earlier gate probability exports,
Variant G/G1 seed42,G_G1_v2maxrec (seed42),test,pgd,0.03,0.2,0.8044932844932845,0.5111111111111111,0.1978021978021978,23,22,90,365,0.264093,false,500,45,455,484,fall_probability,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2maxrec_pgd_probabilities_test_epsilon_0_03.csv,G1 seed42 test score export,
Variant G/G1 seed42,G_G1_v2safety (seed42),test,pgd,0.03,0.2,0.8044932844932845,0.5111111111111111,0.1978021978021978,23,22,90,365,0.264093,false,500,45,455,484,fall_probability,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,G1 seed42 test score export,
Variant F seed42 reference,F_lamM1p0_lamF1p0_v2lowFA (seed42),test,pgd,0.03,0.2,0.7761172161172161,0.4444444444444444,0.1956043956043956,20,25,89,366,0.190382,false,500,45,455,490,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF1p0_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Variant F seed44 reference,F_lamM1p0_lamF1p0_v2safety (seed44),test,pgd,0.03,0.2,0.7481318681318682,0.4,0.2,18,27,91,364,0.379809,false,500,45,455,491,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed44/test_eval/F_lamM1p0_lamF1p0_v2safety_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Variant F seed42 reference,F_lamM1p0_lamF1p0_v2safety (seed42),test,pgd,0.03,0.2,0.7694749694749695,0.37777777777777777,0.2,17,28,91,364,0.411474,false,500,45,455,489,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF1p0_v2safety_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Variant F seed44 reference,F_lamM1p0_lamF1p0_v2lowFA (seed44),test,pgd,0.03,0.2,0.7722588522588523,0.35555555555555557,0.18681318681318682,16,29,85,370,0.174795,false,500,45,455,489,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed44/test_eval/F_lamM1p0_lamF1p0_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
Variant F seed42 reference,F_lamM1p0_lamF0p5_v2safety (seed42),test,pgd,0.03,0.2,0.7298168498168498,0.2222222222222222,0.2,10,35,91,364,0.521228,false,500,45,455,474,fall_probability,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF0p5_v2safety_pgd_probabilities_test_epsilon_0_03.csv,high-recall/high-FP reference,
