epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,mean_nonfall_budget,mean_fall_rescue,budget_to_rescue_loss_ratio,fall_selected_count,fall_k_abs_floor_active_frac,clean_guard_eligible,selection_score,sel_maxscore,sel_maxrec,sel_minFA
56,0.210841,0.210354,0.095133,452,43,0.340909,0.693548,0.677971,0.931818,0.755479,0.233381,3.237108,2.612903,0.935484,0,0.328006,0,0,0
57,0.210354,0.209646,0.092920,452,42,0.318182,0.687500,0.678628,0.954545,0.822192,0.256354,3.207259,2.645161,0.951613,0,0.293182,0,0,0
58,0.209646,0.216018,0.163717,452,74,0.568182,0.669355,0.655911,0.931818,0.727587,0.243619,2.986573,2.370968,0.935484,0,0.252024,0,0,0
59,0.216018,0.217743,0.117257,452,53,0.431818,0.701613,0.687989,0.954545,0.816931,0.233591,3.497268,2.693548,0.967742,1,0.362792,1,1,1
60,0.217743,0.220133,0.123894,452,56,0.340909,0.699597,0.685133,0.954545,0.743044,0.157763,4.709872,2.758065,0.935484,0,0.244527,0,0,0
61,0.220133,0.226947,0.168142,452,76,0.477273,0.693548,0.681093,0.954545,0.740860,0.203088,3.647973,2.629032,0.903226,0,0.191803,0,0,0
62,0.226947,0.225354,0.084071,452,38,0.386364,0.717742,0.712493,0.931818,0.633576,0.172829,3.665904,2.629032,0.919355,1,0.386364,1,0,1
63,0.225354,0.239690,0.243363,452,110,0.863636,0.663306,0.650720,0.977273,0.795037,0.226058,3.516962,2.451613,0.951613,0,0.216798,0,0,0
64,0.239690,0.242522,0.128319,452,58,0.431818,0.713710,0.687433,0.954545,0.759818,0.246282,3.085157,2.693548,0.935484,1,0.318544,0,0,0
65,0.242522,0.240929,0.084071,452,38,0.181818,0.731855,0.727863,0.931818,0.667092,0.207435,3.215906,2.629032,0.935484,1,0.181818,0,0,0
66,0.240929,0.238230,0.073009,452,33,0.204545,0.703629,0.709454,0.909091,0.674440,0.226057,2.983496,2.580645,0.919355,1,0.204545,0,0,1
67,0.238230,0.250133,0.219027,452,99,0.636364,0.620968,0.610859,0.977273,0.786313,0.207800,3.783992,2.580645,0.935484,0,0.002193,0,0,0
68,0.250133,0.252301,0.121681,452,55,0.500000,0.725806,0.711704,0.954545,0.682064,0.237740,2.868948,2.451613,0.935484,1,0.413274,1,1,0
69,0.252301,0.250265,0.079646,452,36,0.295455,0.741935,0.740726,0.931818,0.570897,0.182764,3.123685,2.596774,0.903226,1,0.295455,0,0,0
70,0.250265,0.257080,0.168142,452,76,0.613636,0.717742,0.711059,0.931818,0.779284,0.229405,3.396983,2.548387,0.983871,1,0.341070,0,1,0
