epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_fallconsist,consist_p_f_clean,consist_p_f_adv,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
12,2.919931,1.989165,0.007030,0.914420,0.009307,0.000001,0.093396,0.092360,0.409274,0.253840,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
13,2.944332,1.987552,0.006258,0.941561,0.008955,0.000001,0.093748,0.092791,0.375000,0.223284,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
14,2.973562,1.984001,0.007185,0.971893,0.010469,0.000002,0.094554,0.093327,0.405242,0.258574,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
15,2.952410,1.976106,0.009859,0.953759,0.012671,0.000002,0.095461,0.094139,0.381048,0.280400,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
16,2.976309,1.962629,0.018179,0.973665,0.021808,0.000005,0.097414,0.095578,0.469758,0.382401,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
17,2.967112,1.947678,0.021654,0.971501,0.026237,0.000007,0.099307,0.097078,0.407258,0.284411,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
18,2.948560,1.939867,0.024712,0.956985,0.026946,0.000008,0.100544,0.098067,0.419355,0.285757,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
19,2.953415,1.914786,0.035491,0.966231,0.036822,0.000014,0.104114,0.100867,0.449597,0.340231,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
20,2.921547,1.879210,0.046027,0.943954,0.052178,0.000030,0.108930,0.104312,0.437500,0.329455,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
21,2.877199,1.823031,0.062420,0.926523,0.064930,0.000049,0.116503,0.110743,0.443548,0.339171,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
22,2.858440,1.764469,0.081779,0.934288,0.077518,0.000064,0.122971,0.116598,0.463710,0.384128,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
23,2.825609,1.708187,0.099418,0.922805,0.094439,0.000127,0.130028,0.121481,0.485887,0.375588,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
24,2.698657,1.651208,0.099606,0.846250,0.100698,0.000149,0.140113,0.131708,0.475806,0.389750,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
25,2.646382,1.572153,0.131664,0.800843,0.139875,0.000308,0.156987,0.144343,0.500000,0.374553,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
26,2.694559,1.580432,0.147025,0.808972,0.155847,0.000380,0.159165,0.144522,0.495968,0.338745,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
27,2.681293,1.550910,0.142196,0.842353,0.143400,0.000406,0.158835,0.143906,0.516129,0.415723,0.045455,0.000000,0.000000,2,2,0.004425,0.015467,0,0,0,0,1
28,2.677207,1.505085,0.182932,0.779349,0.203266,0.001096,0.190297,0.164811,0.566532,0.523721,0.590909,0.181818,0.159091,15,33,0.053097,0.291281,0,0,0,0,1
29,2.549563,1.460939,0.183641,0.697681,0.200579,0.001121,0.203190,0.179604,0.592742,0.522533,0.659091,0.090909,0.068182,16,19,0.038717,0.266583,0,0,0,0,0
30,2.406885,1.368758,0.190212,0.590654,0.240627,0.002772,0.248375,0.208221,0.572581,0.528650,0.704545,0.159091,0.090909,10,30,0.044248,0.298984,0,0,0,0,1
31,2.392489,1.318703,0.232551,0.527986,0.284323,0.004821,0.292293,0.240960,0.633065,0.584449,0.931818,0.477273,0.204545,55,81,0.150442,0.450865,0,0,0,0,1
32,2.431536,1.299079,0.258093,0.507799,0.334770,0.005299,0.318070,0.259903,0.602823,0.553279,0.840909,0.295455,0.159091,36,51,0.096239,0.385831,0,0,0,0,0
33,2.494664,1.309738,0.258765,0.563536,0.321631,0.006832,0.304309,0.245683,0.620968,0.578047,0.659091,0.181818,0.090909,16,26,0.046460,0.285127,0,0,0,0,0
34,2.544549,1.379135,0.213200,0.649957,0.278575,0.003947,0.256988,0.210488,0.604839,0.560445,0.636364,0.136364,0.045455,16,27,0.047566,0.252062,0,0,0,0,0
35,2.468699,1.322301,0.224388,0.565338,0.295544,0.010188,0.312341,0.239290,0.612903,0.579876,0.863636,0.204545,0.136364,14,30,0.048673,0.379224,0,0,0,0,0
36,2.189783,1.206643,0.238710,0.381766,0.313216,0.008241,0.361594,0.293745,0.671371,0.646767,0.977273,0.250000,0.159091,34,43,0.085177,0.430119,0,0,0,0,1
37,2.470062,1.215519,0.355745,0.358339,0.455329,0.014188,0.383981,0.299349,0.604839,0.588239,0.522727,0.090909,0.090909,10,19,0.032080,0.229747,0,0,0,0,0
38,2.123966,1.235996,0.172285,0.448144,0.235999,0.005257,0.316129,0.262908,0.691532,0.675577,0.909091,0.250000,0.181818,37,46,0.091814,0.415819,0,0,0,0,1
39,2.377339,1.214716,0.293045,0.470160,0.336726,0.010448,0.343036,0.272223,0.655242,0.656162,0.795455,0.272727,0.204545,28,30,0.064159,0.391311,0,0,0,0,0
40,2.078815,1.179414,0.217639,0.358363,0.273462,0.008323,0.358529,0.292784,0.679435,0.656195,0.977273,0.613636,0.409091,53,77,0.143805,0.573119,0,0,0,0,0
41,2.271636,1.198583,0.267667,0.404560,0.343418,0.009568,0.354507,0.286846,0.665323,0.637724,0.931818,0.704545,0.386364,73,92,0.182522,0.552202,0,0,0,0,0
42,2.220568,1.164355,0.264167,0.344921,0.360982,0.014357,0.423873,0.333345,0.715726,0.705135,0.954545,0.545455,0.295455,52,64,0.128319,0.508759,1,1,1,1,1
43,2.229019,1.138079,0.249547,0.397440,0.357648,0.014384,0.443101,0.353802,0.671371,0.672496,0.931818,0.340909,0.136364,32,45,0.085177,0.413073,0,0,0,0,0
44,2.154454,1.124855,0.260620,0.327869,0.359532,0.013596,0.448935,0.356678,0.667339,0.603566,0.840909,0.181818,0.113636,9,22,0.034292,0.360207,0,0,0,0,0
45,2.117391,1.079333,0.272229,0.317718,0.358008,0.015017,0.463496,0.372728,0.713710,0.702284,0.886364,0.272727,0.181818,28,49,0.085177,0.410800,1,0,0,1,0
46,2.277805,1.130315,0.274317,0.419376,0.365504,0.014715,0.424478,0.333919,0.681452,0.658822,0.727273,0.090909,0.045455,4,9,0.014381,0.282653,0,0,0,0,0
47,1.911878,1.036645,0.231736,0.264212,0.300425,0.013143,0.447781,0.365141,0.723790,0.708438,0.931818,0.318182,0.136364,33,43,0.084071,0.410911,1,0,0,1,1
48,2.064947,1.049653,0.260280,0.298209,0.352121,0.017447,0.474723,0.379979,0.725806,0.722206,0.954545,0.431818,0.227273,34,44,0.086283,0.470917,1,0,0,0,1
49,2.106176,1.066036,0.269877,0.290748,0.368899,0.018436,0.484439,0.380734,0.717742,0.698843,0.977273,0.636364,0.431818,51,75,0.139381,0.586062,1,1,1,0,0
50,1.830716,0.994566,0.229012,0.213042,0.306486,0.014602,0.497002,0.401549,0.727823,0.721905,0.909091,0.272727,0.181818,18,37,0.060841,0.421189,1,0,0,1,0
51,2.210606,1.053418,0.290669,0.315253,0.420325,0.021823,0.524618,0.397947,0.697581,0.661922,0.977273,0.886364,0.772727,102,128,0.254425,0.752967,0,0,0,0,0
52,1.993255,1.022628,0.253291,0.247104,0.349934,0.020050,0.528167,0.422102,0.727823,0.733929,0.954545,0.227273,0.136364,15,27,0.046460,0.413536,1,0,0,1,1
53,2.026642,1.014837,0.263966,0.276999,0.361705,0.018189,0.516830,0.417329,0.731855,0.726364,0.931818,0.454545,0.227273,31,46,0.085177,0.465346,1,0,0,0,0
54,1.864210,0.981543,0.231701,0.267699,0.304852,0.013069,0.497938,0.411763,0.715726,0.722528,0.931818,0.181818,0.113636,20,33,0.058628,0.389592,1,0,0,0,0
55,2.169688,1.065092,0.270599,0.334389,0.374767,0.020807,0.479719,0.373296,0.735887,0.726297,0.954545,0.295455,0.181818,33,49,0.090708,0.436384,1,0,0,0,0
56,2.155720,1.012768,0.304809,0.280139,0.397352,0.026775,0.555220,0.434805,0.766129,0.749425,0.977273,0.681818,0.454545,53,73,0.139381,0.600835,1,1,1,0,1
57,1.856795,0.953606,0.241894,0.212535,0.316521,0.022040,0.559780,0.452391,0.747984,0.730364,0.977273,0.863636,0.681818,86,97,0.202434,0.714984,1,1,1,0,0
58,2.107538,1.024015,0.283016,0.319158,0.356746,0.020767,0.538016,0.432686,0.727823,0.705424,0.977273,0.704545,0.477273,65,77,0.157080,0.611565,1,0,0,0,0
59,2.037883,0.986238,0.286312,0.256541,0.371777,0.022836,0.545944,0.427564,0.758065,0.740988,0.954545,0.454545,0.250000,32,40,0.079646,0.484081,1,0,0,0,0
60,1.918434,0.944253,0.238676,0.233250,0.352999,0.024876,0.581174,0.466712,0.723790,0.680890,0.977273,0.818182,0.636364,74,98,0.190265,0.691201,1,0,0,0,0
61,1.879790,0.924034,0.242588,0.219592,0.338335,0.025874,0.608418,0.479628,0.735887,0.717549,0.977273,0.795455,0.636364,68,83,0.167035,0.691251,1,0,0,0,0
62,1.971545,0.947127,0.274425,0.243483,0.356036,0.025079,0.625170,0.513743,0.695565,0.710054,0.886364,0.250000,0.159091,20,28,0.053097,0.401508,0,0,0,0,0
63,2.085785,0.972844,0.257320,0.319004,0.351606,0.030835,0.594893,0.469800,0.747984,0.743852,0.931818,0.477273,0.136364,31,45,0.084071,0.426820,1,0,0,0,0
64,2.127463,0.956673,0.274655,0.296487,0.428175,0.028579,0.590982,0.458598,0.743952,0.740463,0.954545,0.477273,0.204545,29,43,0.079646,0.465899,1,0,0,0,0
65,1.945723,0.935890,0.262222,0.262058,0.344615,0.023490,0.566639,0.456098,0.735887,0.721765,0.954545,0.613636,0.431818,47,58,0.116150,0.578158,1,0,0,0,0
66,2.049376,0.918944,0.304851,0.208758,0.404153,0.035445,0.654947,0.513145,0.687500,0.674424,0.954545,0.818182,0.750000,95,125,0.243363,0.729073,0,0,0,0,0
67,2.085777,0.985141,0.283212,0.294372,0.367694,0.025893,0.582049,0.456529,0.756048,0.725619,0.954545,0.659091,0.454545,51,71,0.134956,0.591050,1,0,0,0,0
68,1.907418,0.892180,0.269201,0.202844,0.368241,0.029159,0.651241,0.524287,0.743952,0.730062,0.977273,0.522727,0.386364,46,56,0.112832,0.556899,1,0,0,0,0
69,1.890063,0.863909,0.272456,0.192177,0.363456,0.033011,0.667232,0.530639,0.770161,0.751050,1.000000,0.659091,0.454545,57,68,0.138274,0.606627,1,0,0,0,1
70,2.275659,0.927986,0.355250,0.256580,0.494638,0.040201,0.671455,0.516340,0.774194,0.753328,0.954545,0.659091,0.363636,45,50,0.105088,0.553128,1,0,0,0,1
