epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
26,0.943429,0.822833,0.454637,0.796371,0.789286,0.954545,0.364919,0.345805,0.431818,0.567546
27,0.927271,0.828377,0.445060,0.814516,0.816637,0.909091,0.411290,0.373566,0.340909,0.595101
28,0.941473,0.833921,0.444556,0.784274,0.781517,0.977273,0.443548,0.362828,0.500000,0.572172
29,0.927687,0.834929,0.449849,0.782258,0.758243,0.909091,0.445565,0.423718,0.386364,0.590981
30,0.890554,0.848790,0.458417,0.832661,0.832154,0.909091,0.437500,0.370293,0.227273,0.601223
31,0.878256,0.853075,0.461946,0.844758,0.853663,0.977273,0.377016,0.344018,0.568182,0.598841
32,0.868102,0.853579,0.466482,0.820565,0.820118,0.954545,0.441532,0.393429,0.295455,0.606774
33,0.867243,0.859879,0.463458,0.848790,0.846885,0.863636,0.429435,0.399561,0.363636,0.623223
34,0.872876,0.852571,0.474546,0.848790,0.835939,0.977273,0.417339,0.379810,0.363636,0.607875
35,0.850092,0.864163,0.478579,0.854839,0.830977,0.909091,0.389113,0.339611,0.295455,0.585294
36,0.871696,0.864163,0.460685,0.842742,0.847155,0.931818,0.423387,0.391030,0.363636,0.619093
37,0.835732,0.865927,0.487903,0.868952,0.859254,0.977273,0.453629,0.450198,0.590909,0.654726
38,0.831817,0.868448,0.488407,0.856855,0.853646,0.886364,0.385081,0.359852,0.227273,0.606749
39,0.820744,0.876512,0.494204,0.840726,0.842813,0.931818,0.485887,0.440249,0.613636,0.641531
40,0.834880,0.870464,0.483115,0.846774,0.856924,0.931818,0.461694,0.423577,0.568182,0.640251
41,0.822918,0.871976,0.483619,0.868952,0.875940,0.977273,0.451613,0.440103,0.659091,0.658021
42,0.832076,0.881300,0.484123,0.868952,0.866082,0.931818,0.465726,0.438514,0.340909,0.652298
43,0.787288,0.894405,0.501260,0.842742,0.843405,0.931818,0.407258,0.363044,0.227273,0.603225
44,0.807997,0.895161,0.484879,0.899194,0.892270,0.954545,0.445565,0.420394,0.409091,0.656332
45,0.790030,0.894153,0.498740,0.846774,0.831510,0.909091,0.465726,0.434776,0.477273,0.633143
46,0.808061,0.881048,0.489667,0.852823,0.839257,0.954545,0.439516,0.428875,0.340909,0.634066
47,0.794987,0.885333,0.499748,0.885081,0.879511,0.931818,0.479839,0.441849,0.522727,0.660680
48,0.775427,0.895665,0.501512,0.844758,0.846746,0.931818,0.493952,0.468546,0.454545,0.657646
49,0.774482,0.894909,0.513105,0.858871,0.864631,0.931818,0.445565,0.391862,0.454545,0.628247
50,0.763542,0.901714,0.501764,0.864919,0.857668,0.931818,0.435484,0.406390,0.409091,0.632029
51,0.767830,0.894153,0.507308,0.832661,0.833767,0.954545,0.469758,0.411846,0.409091,0.622806
52,0.750606,0.908266,0.515373,0.872984,0.871324,0.931818,0.491935,0.446534,0.409091,0.658929
53,0.756578,0.902974,0.508317,0.901210,0.898095,0.931818,0.461694,0.446068,0.409091,0.672082
54,0.767942,0.898185,0.507308,0.850806,0.852294,0.886364,0.510081,0.460374,0.363636,0.656334
55,0.727965,0.909778,0.522681,0.891129,0.898723,0.931818,0.449597,0.409356,0.431818,0.654039
56,0.728697,0.917087,0.523185,0.850806,0.862088,0.977273,0.463710,0.434640,0.659091,0.648364
57,0.739152,0.914819,0.516885,0.877016,0.863414,0.909091,0.463710,0.431078,0.568182,0.647246
58,0.737476,0.913810,0.516129,0.883065,0.879435,0.909091,0.463710,0.425250,0.477273,0.652343
59,0.750158,0.902722,0.512097,0.891129,0.897624,0.977273,0.493952,0.467777,0.340909,0.682701
60,0.719240,0.915071,0.522429,0.864919,0.879150,0.818182,0.405242,0.343944,0.159091,0.611547
61,0.736475,0.906250,0.519909,0.895161,0.899552,0.931818,0.443548,0.436590,0.409091,0.668071
62,0.710296,0.924899,0.533266,0.877016,0.872701,0.954545,0.455645,0.428644,0.318182,0.650673
63,0.718391,0.915575,0.524950,0.895161,0.890171,0.954545,0.441532,0.420283,0.454545,0.655227
64,0.707128,0.917843,0.526210,0.883065,0.887643,0.931818,0.463710,0.403892,0.181818,0.645768
65,0.691852,0.927671,0.534022,0.883065,0.879576,0.977273,0.475806,0.415663,0.340909,0.647619
66,0.693855,0.924647,0.536542,0.875000,0.883886,0.977273,0.493952,0.454950,0.522727,0.669418
67,0.699186,0.920111,0.533770,0.905242,0.905450,0.931818,0.497984,0.456732,0.295455,0.681091
68,0.704769,0.919355,0.531502,0.858871,0.852879,0.909091,0.443548,0.381464,0.159091,0.617171
69,0.728839,0.913810,0.526210,0.842742,0.838200,0.909091,0.435484,0.352098,0.227273,0.595149
70,0.715454,0.918599,0.527470,0.907258,0.900424,0.954545,0.455645,0.441662,0.522727,0.671043
71,0.704788,0.922379,0.535786,0.872984,0.883388,0.909091,0.514113,0.449213,0.454545,0.666301
72,0.691071,0.920363,0.535030,0.905242,0.900542,0.954545,0.481855,0.429584,0.295455,0.665063
73,0.662795,0.928427,0.554688,0.881048,0.882576,0.954545,0.435484,0.409372,0.386364,0.645974
74,0.682985,0.925151,0.540071,0.883065,0.874120,0.909091,0.483871,0.467741,0.409091,0.670930
75,0.686199,0.922631,0.543851,0.897177,0.905899,0.977273,0.489919,0.441524,0.590909,0.673711
76,0.676506,0.935736,0.542843,0.870968,0.888215,0.977273,0.520161,0.479700,0.340909,0.683957
77,0.680783,0.921371,0.540575,0.917339,0.915902,0.954545,0.510081,0.481092,0.568182,0.698497
78,0.666257,0.929940,0.553175,0.907258,0.901260,0.977273,0.502016,0.455361,0.522727,0.678310
79,0.652548,0.934476,0.548135,0.893145,0.897257,0.931818,0.461694,0.392737,0.204545,0.644997
80,0.674855,0.928931,0.549899,0.911290,0.911496,0.977273,0.506048,0.500586,0.545455,0.706041
81,0.643874,0.935484,0.555192,0.868952,0.882992,0.954545,0.510081,0.437463,0.113636,0.660227
82,0.666297,0.928175,0.545363,0.895161,0.888193,0.931818,0.512097,0.469448,0.363636,0.678820
83,0.659716,0.935736,0.550151,0.891129,0.884096,0.977273,0.469758,0.465051,0.636364,0.674574
84,0.663875,0.934728,0.548135,0.889113,0.903550,0.954545,0.443548,0.396385,0.363636,0.649968
85,0.646348,0.937752,0.561240,0.866935,0.875646,0.954545,0.489919,0.425811,0.363636,0.650728
86,0.687681,0.921119,0.540071,0.915323,0.912732,0.931818,0.469758,0.427210,0.545455,0.669971
87,0.660075,0.932712,0.549899,0.899194,0.891115,0.931818,0.435484,0.397570,0.454545,0.644342
88,0.648433,0.935232,0.561240,0.883065,0.898133,0.977273,0.530242,0.490012,0.409091,0.694072
89,0.647076,0.934224,0.555696,0.905242,0.906025,0.954545,0.502016,0.467276,0.568182,0.686650
90,0.637636,0.937500,0.560988,0.899194,0.893770,0.954545,0.487903,0.455336,0.477273,0.674553
91,0.634608,0.939012,0.557208,0.879032,0.890283,0.977273,0.479839,0.417749,0.340909,0.654016
92,0.632168,0.939768,0.567792,0.917339,0.915228,0.977273,0.423387,0.386881,0.431818,0.651054
93,0.643937,0.936240,0.556704,0.891129,0.894356,0.931818,0.479839,0.422134,0.363636,0.658245
94,0.625475,0.948589,0.562248,0.899194,0.896523,0.977273,0.508065,0.481268,0.500000,0.688896
95,0.637314,0.933972,0.554940,0.893145,0.899510,0.909091,0.453629,0.423062,0.204545,0.661286
96,0.634664,0.941532,0.555192,0.903226,0.904687,0.977273,0.481855,0.457789,0.340909,0.681238
97,0.629664,0.943044,0.556452,0.893145,0.898928,0.954545,0.518145,0.460858,0.522727,0.679893
98,0.626155,0.948085,0.565272,0.875000,0.888878,0.954545,0.518145,0.464181,0.295455,0.676530
99,0.623179,0.938508,0.569556,0.917339,0.921327,0.954545,0.516129,0.490443,0.454545,0.705885
100,0.624491,0.950101,0.562500,0.885081,0.900555,0.931818,0.538306,0.489255,0.590909,0.694905
