epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
25,1.138270,0.746724,0.392137,0.745968,0.725969,0.886364,0.368952,0.316361,0.181818,0.521165
26,1.112174,0.748488,0.409778,0.741935,0.715325,0.772727,0.360887,0.282907,0.159091,0.499116
27,1.105808,0.754788,0.404738,0.741935,0.726573,0.818182,0.334677,0.285189,0.113636,0.505881
28,1.096816,0.762853,0.409274,0.772177,0.747884,0.840909,0.387097,0.296677,0.068182,0.522280
29,1.078584,0.771421,0.417087,0.772177,0.755644,0.863636,0.425403,0.358222,0.159091,0.556933
30,1.084707,0.767641,0.413810,0.766129,0.751355,0.818182,0.395161,0.305942,0.068182,0.528648
31,1.080031,0.763861,0.402470,0.774194,0.768848,0.704545,0.379032,0.319065,0.045455,0.543956
32,1.062005,0.785786,0.423387,0.770161,0.757740,0.863636,0.421371,0.330815,0.159091,0.544277
33,1.049822,0.790575,0.429940,0.766129,0.747122,0.704545,0.385081,0.298032,0.090909,0.522577
34,1.034518,0.787298,0.424143,0.766129,0.747597,0.750000,0.427419,0.326597,0.090909,0.537097
35,1.032931,0.792087,0.422631,0.760081,0.745332,0.659091,0.433468,0.335717,0.068182,0.540525
36,1.031262,0.791835,0.432712,0.776210,0.775621,0.863636,0.433468,0.362351,0.159091,0.568986
37,1.008569,0.809224,0.442792,0.774194,0.766582,0.681818,0.391129,0.300546,0.022727,0.533564
38,1.018097,0.799143,0.436240,0.798387,0.793041,0.886364,0.372984,0.321301,0.136364,0.557171
39,0.993307,0.807964,0.446321,0.808468,0.809880,0.909091,0.435484,0.383553,0.272727,0.596716
40,0.992263,0.817036,0.447077,0.790323,0.778081,0.909091,0.395161,0.347852,0.227273,0.562967
41,0.995963,0.802923,0.449093,0.798387,0.782579,0.863636,0.354839,0.290852,0.181818,0.536716
42,0.987766,0.807712,0.448841,0.800403,0.778851,0.886364,0.397177,0.322142,0.204545,0.550496
43,0.987724,0.811240,0.446069,0.796371,0.796642,0.954545,0.403226,0.359107,0.227273,0.577875
44,0.980248,0.815776,0.453377,0.798387,0.796021,0.886364,0.449597,0.400702,0.204545,0.598362
45,0.968559,0.819808,0.452873,0.788306,0.790731,0.818182,0.431452,0.368450,0.159091,0.579591
46,0.962838,0.816532,0.459929,0.814516,0.807683,0.886364,0.383065,0.314620,0.136364,0.561152
47,0.965278,0.821825,0.456401,0.820565,0.819826,0.954545,0.391129,0.323488,0.136364,0.571657
48,0.948313,0.826865,0.457913,0.800403,0.796739,0.954545,0.441532,0.357705,0.181818,0.577222
49,0.942983,0.837198,0.450857,0.804435,0.790502,0.772727,0.346774,0.306169,0.090909,0.548335
50,0.948878,0.830141,0.465222,0.810484,0.796524,0.931818,0.437500,0.356858,0.340909,0.576691
51,0.951839,0.829133,0.455897,0.822581,0.814978,0.886364,0.405242,0.352776,0.136364,0.583877
52,0.934936,0.835181,0.464970,0.820565,0.815022,0.818182,0.403226,0.344346,0.113636,0.579684
53,0.925659,0.844254,0.449345,0.848790,0.845812,0.909091,0.385081,0.339794,0.250000,0.592803
54,0.932119,0.836694,0.459929,0.822581,0.828940,0.909091,0.358871,0.343451,0.340909,0.586196
55,0.923785,0.844002,0.462702,0.846774,0.831193,0.954545,0.395161,0.363119,0.340909,0.597156
56,0.932059,0.845262,0.456905,0.822581,0.818011,0.795455,0.439516,0.339341,0.022727,0.578676
57,0.908565,0.846774,0.472530,0.846774,0.841515,0.886364,0.443548,0.393182,0.204545,0.617349
58,0.918667,0.843498,0.457409,0.808468,0.805854,0.886364,0.441532,0.370179,0.363636,0.588016
59,0.914763,0.854083,0.465474,0.830645,0.829163,0.931818,0.459677,0.414706,0.340909,0.621934
60,0.903804,0.849546,0.465474,0.816532,0.819218,0.909091,0.459677,0.395317,0.272727,0.607268
61,0.910821,0.847278,0.474294,0.826613,0.829969,0.886364,0.443548,0.396215,0.386364,0.613092
62,0.899493,0.849798,0.471018,0.806452,0.800427,0.863636,0.455645,0.347543,0.136364,0.573985
63,0.907380,0.851562,0.466482,0.818548,0.811253,0.909091,0.469758,0.392612,0.250000,0.601932
64,0.901667,0.849546,0.466986,0.814516,0.806369,0.886364,0.439516,0.380438,0.545455,0.593403
65,0.893456,0.853831,0.472782,0.836694,0.844483,0.909091,0.421371,0.365776,0.181818,0.605130
66,0.866612,0.863155,0.474546,0.854839,0.837043,0.886364,0.423387,0.395713,0.431818,0.616378
67,0.871159,0.862903,0.484627,0.844758,0.832976,0.931818,0.449597,0.385040,0.204545,0.609008
68,0.865824,0.869708,0.484123,0.850806,0.849637,0.886364,0.423387,0.350384,0.113636,0.600010
69,0.869105,0.861895,0.486391,0.836694,0.838781,0.886364,0.413306,0.359941,0.136364,0.599361
70,0.889819,0.860383,0.471270,0.840726,0.848236,0.931818,0.471774,0.407159,0.386364,0.627697
71,0.856214,0.871220,0.490171,0.864919,0.856878,0.886364,0.421371,0.351540,0.204545,0.604209
72,0.861152,0.872228,0.480091,0.850806,0.854739,0.909091,0.502016,0.450906,0.318182,0.652822
73,0.863588,0.864919,0.491179,0.842742,0.836524,0.840909,0.459677,0.377234,0.204545,0.606879
74,0.860815,0.875504,0.479335,0.828629,0.825435,0.909091,0.479839,0.439364,0.272727,0.632399
75,0.860858,0.860635,0.486643,0.838710,0.842596,0.886364,0.491935,0.424455,0.181818,0.633525
76,0.839968,0.880040,0.485131,0.844758,0.831528,0.954545,0.431452,0.396569,0.454545,0.614048
77,0.833010,0.887349,0.476562,0.846774,0.849490,0.909091,0.465726,0.399961,0.159091,0.624726
78,0.847622,0.872984,0.492692,0.840726,0.845335,0.931818,0.457661,0.381313,0.227273,0.613324
79,0.836446,0.875756,0.496220,0.812500,0.803665,0.886364,0.449597,0.333837,0.181818,0.568751
80,0.850803,0.871220,0.486391,0.846774,0.857211,0.909091,0.471774,0.417114,0.250000,0.637162
81,0.829217,0.879536,0.495464,0.856855,0.852822,0.909091,0.475806,0.418820,0.568182,0.635821
82,0.849176,0.879284,0.486139,0.858871,0.864692,0.931818,0.433468,0.398249,0.431818,0.631471
83,0.835063,0.876008,0.494204,0.856855,0.865532,0.886364,0.471774,0.411780,0.272727,0.638656
84,0.816386,0.885585,0.497228,0.824597,0.816991,0.886364,0.457661,0.354316,0.295455,0.585654
85,0.826793,0.883317,0.488155,0.850806,0.858574,0.909091,0.461694,0.403875,0.204545,0.631224
86,0.836317,0.880544,0.485131,0.879032,0.875973,0.840909,0.413306,0.358814,0.204545,0.617393
87,0.815002,0.886593,0.503528,0.826613,0.821816,0.863636,0.459677,0.370878,0.227273,0.596347
