epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
41,0.814441,0.877520,0.495212,0.834677,0.834685,0.954545,0.455645,0.385749,0.318182,0.610217
42,0.807688,0.883317,0.500252,0.848790,0.845612,0.909091,0.469758,0.400197,0.181818,0.622904
43,0.806820,0.883821,0.505040,0.858871,0.858581,0.909091,0.477823,0.422869,0.431818,0.640725
44,0.788640,0.891381,0.507812,0.854839,0.855761,0.977273,0.500000,0.414151,0.227273,0.634956
45,0.792291,0.888861,0.494204,0.846774,0.840462,0.954545,0.504032,0.440493,0.500000,0.640478
46,0.788077,0.882056,0.495968,0.844758,0.840335,0.954545,0.485887,0.418145,0.340909,0.629240
47,0.784140,0.889617,0.502268,0.848790,0.850124,0.954545,0.469758,0.363677,0.181818,0.606900
48,0.781511,0.897429,0.501512,0.864919,0.873362,0.931818,0.457661,0.407792,0.522727,0.640577
49,0.771727,0.896169,0.516129,0.836694,0.830963,0.977273,0.467742,0.387241,0.227273,0.609102
50,0.793689,0.893397,0.489667,0.885081,0.873288,0.954545,0.459677,0.432167,0.363636,0.652728
51,0.760651,0.899698,0.508821,0.858871,0.861351,0.909091,0.479839,0.417964,0.181818,0.639658
52,0.749979,0.899698,0.511593,0.858871,0.864704,0.931818,0.465726,0.418901,0.454545,0.641802
53,0.750711,0.906502,0.509577,0.850806,0.854740,0.886364,0.463710,0.372201,0.181818,0.613470
54,0.760590,0.902722,0.511089,0.875000,0.872846,0.954545,0.516129,0.454646,0.227273,0.663746
55,0.754345,0.901210,0.509829,0.899194,0.892698,0.931818,0.469758,0.422769,0.204545,0.657733
56,0.740857,0.908518,0.509325,0.872984,0.867694,1.000000,0.512097,0.475510,0.522727,0.671602
57,0.742730,0.905998,0.519153,0.850806,0.853502,0.954545,0.467742,0.433153,0.363636,0.643327
58,0.734034,0.912802,0.513357,0.852823,0.849377,1.000000,0.497984,0.437139,0.477273,0.643258
59,0.726863,0.916583,0.516381,0.893145,0.872868,0.977273,0.457661,0.407722,0.386364,0.640295
60,0.724193,0.911290,0.516885,0.860887,0.864126,0.977273,0.487903,0.432094,0.590909,0.648110
61,0.749764,0.906502,0.509829,0.891129,0.886035,0.977273,0.429435,0.391783,0.272727,0.638909
62,0.731701,0.907762,0.508821,0.887097,0.878460,0.954545,0.443548,0.401691,0.227273,0.640076
63,0.713416,0.912802,0.512097,0.905242,0.896170,0.977273,0.437500,0.392216,0.318182,0.644193
64,0.711154,0.924647,0.517137,0.897177,0.899468,1.000000,0.435484,0.399175,0.386364,0.649322
65,0.728148,0.910786,0.508317,0.881048,0.885424,0.954545,0.425403,0.410501,0.340909,0.647963
66,0.726827,0.909022,0.510333,0.844758,0.833617,0.954545,0.469758,0.394619,0.318182,0.614118
67,0.702620,0.920867,0.522681,0.899194,0.889573,0.909091,0.429435,0.375358,0.136364,0.632465
68,0.721336,0.919859,0.507812,0.864919,0.869702,1.000000,0.465726,0.446447,0.500000,0.658075
69,0.713765,0.913306,0.513105,0.864919,0.869988,0.954545,0.506048,0.462851,0.477273,0.666419
70,0.687536,0.920111,0.532006,0.895161,0.885503,0.977273,0.469758,0.451905,0.636364,0.668704
71,0.717609,0.914315,0.513861,0.872984,0.875422,0.954545,0.469758,0.432694,0.295455,0.654058
72,0.696518,0.922379,0.526210,0.875000,0.878864,0.954545,0.475806,0.443936,0.500000,0.661400
73,0.694806,0.917843,0.529486,0.852823,0.837800,0.909091,0.431452,0.363980,0.318182,0.600890
74,0.694835,0.920867,0.524194,0.899194,0.888962,0.954545,0.457661,0.424681,0.318182,0.656822
75,0.692039,0.923387,0.525202,0.901210,0.898399,0.977273,0.473790,0.439873,0.500000,0.669136
76,0.696659,0.924647,0.517893,0.885081,0.879952,0.931818,0.477823,0.432885,0.295455,0.656418
