epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,topk_budget_selected,topk_rescue_selected,nonfall_selected_count,fall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
39,3.018641,1.411113,0.280394,0.372886,0.328192,0.980917,0.380827,7.725806,2.483871,7.725806,2.483871,0.935484,2.575752,0.633065,0.608317,0.977273,0.454545,0.318182,57,71,0.141593,0.516523,0,0,0,0,1
40,2.799434,1.394388,0.256742,0.306137,0.290001,0.880131,0.332134,7.548387,2.806452,7.548387,2.806452,0.983871,2.649926,0.606855,0.589649,0.954545,0.772727,0.636364,95,109,0.225664,0.675161,0,0,0,0,0
41,2.828456,1.375308,0.240626,0.333330,0.307818,0.868000,0.354373,7.596774,2.725806,7.596774,2.725806,0.967742,2.449397,0.625000,0.598096,0.886364,0.431818,0.272727,37,57,0.103982,0.465738,0,0,0,0,0
42,2.683749,1.361602,0.205934,0.321704,0.272329,0.753700,0.333755,7.725806,2.564516,7.725806,2.564516,0.951613,2.258247,0.659274,0.641263,0.977273,0.704545,0.568182,66,81,0.162611,0.651921,0,0,0,0,1
43,2.829456,1.380019,0.249839,0.324571,0.317554,0.882026,0.336966,7.741935,2.500000,7.741935,2.500000,0.983871,2.617553,0.639113,0.629294,0.931818,0.545455,0.340909,56,82,0.152655,0.518825,0,0,0,0,0
44,2.690602,1.332247,0.230944,0.304070,0.298417,0.822036,0.319416,7.645161,2.725806,7.645161,2.725806,0.983871,2.573559,0.606855,0.558860,0.772727,0.159091,0.113636,20,31,0.056416,0.331858,0,0,0,0,0
45,2.705726,1.314839,0.253455,0.292882,0.312531,0.919126,0.302237,7.612903,2.790323,7.612903,2.790323,0.983871,3.041081,0.625000,0.595864,0.909091,0.318182,0.204545,32,43,0.082965,0.433749,0,0,0,0,0
46,2.917722,1.354745,0.269339,0.356514,0.332827,0.937130,0.370014,7.612903,2.709677,7.612903,2.709677,0.983871,2.532691,0.592742,0.512483,0.795455,0.318182,0.136364,25,33,0.064159,0.365175,0,0,0,0,0
47,2.570587,1.290451,0.234517,0.271879,0.284482,0.835298,0.280434,7.693548,2.790323,7.693548,2.790323,0.951613,2.978593,0.687500,0.674176,0.931818,0.500000,0.227273,34,53,0.096239,0.468785,0,0,0,0,1
48,2.528481,1.275253,0.216483,0.267392,0.288290,0.793619,0.282658,7.725806,2.403226,7.725806,2.403226,0.919355,2.807703,0.657258,0.644771,0.931818,0.363636,0.159091,27,42,0.076327,0.426458,0,0,0,0,0
49,2.694393,1.287620,0.260304,0.272871,0.343027,0.953719,0.292141,7.612903,2.822581,7.612903,2.822581,1.000000,3.264583,0.631048,0.603704,0.954545,0.659091,0.545455,60,79,0.153761,0.630078,0,0,0,0,0
50,2.282056,1.240641,0.180515,0.230357,0.227861,0.655960,0.238692,7.709677,2.580645,7.709677,2.580645,0.903226,2.748147,0.651210,0.637479,0.931818,0.568182,0.318182,44,56,0.110619,0.515074,0,0,0,0,0
51,2.687601,1.262550,0.239853,0.312968,0.332737,0.868634,0.322335,7.725806,2.354839,7.725806,2.354839,0.919355,2.694816,0.618952,0.599668,0.954545,0.931818,0.840909,115,134,0.275442,0.778138,0,0,0,0,0
52,2.590368,1.262766,0.234081,0.277449,0.299498,0.836117,0.307546,7.612903,2.709677,7.612903,2.709677,0.919355,2.718676,0.677419,0.670393,0.954545,0.477273,0.409091,36,53,0.098451,0.556064,0,0,0,0,0
53,2.566380,1.263435,0.231871,0.276477,0.301562,0.819391,0.288188,7.725806,2.516129,7.725806,2.516129,0.951613,2.843247,0.683468,0.670438,0.840909,0.159091,0.068182,13,24,0.040929,0.336816,0,0,0,0,0
54,2.330784,1.192140,0.220728,0.213922,0.280205,0.780901,0.228563,7.612903,2.790323,7.612903,2.790323,0.919355,3.416563,0.657258,0.627595,0.954545,0.659091,0.386364,52,65,0.129425,0.560921,0,0,0,0,0
55,2.668675,1.274546,0.252544,0.298291,0.303297,0.893780,0.316551,7.612903,2.709677,7.612903,2.709677,0.951613,2.823489,0.645161,0.621921,0.931818,0.522727,0.227273,31,42,0.080752,0.472607,0,0,0,0,0
56,2.510095,1.208573,0.237377,0.269598,0.296246,0.853509,0.284923,7.693548,2.741935,7.693548,2.741935,0.951613,2.995576,0.689516,0.689274,0.931818,0.545455,0.318182,36,52,0.097345,0.514129,0,0,0,0,1
57,2.169170,1.162854,0.174093,0.223448,0.220778,0.626469,0.231379,7.693548,2.645161,7.693548,2.645161,0.967742,2.707540,0.683468,0.686246,0.931818,0.636364,0.431818,45,70,0.127212,0.571370,0,0,0,0,0
58,2.354801,1.188614,0.213662,0.234862,0.275523,0.801733,0.241707,7.693548,2.532258,7.693548,2.532258,0.919355,3.316968,0.631048,0.620423,0.977273,0.886364,0.818182,110,143,0.279867,0.770877,0,0,0,0,0
59,2.521977,1.197040,0.245786,0.270038,0.303328,0.880283,0.285713,7.612903,2.806452,7.612903,2.806452,0.983871,3.081006,0.689516,0.692516,0.931818,0.681818,0.454545,42,54,0.106195,0.588244,0,0,0,0,1
60,2.190204,1.142806,0.178838,0.221006,0.255845,0.649926,0.229227,7.741935,2.661290,7.741935,2.661290,0.983871,2.835290,0.707661,0.687664,0.954545,0.522727,0.386364,34,48,0.090708,0.551156,1,1,1,1,0
61,2.156040,1.132616,0.182277,0.214329,0.228508,0.684457,0.227196,7.693548,2.725806,7.693548,2.725806,0.935484,3.012628,0.683468,0.675148,0.954545,0.795455,0.659091,72,86,0.174779,0.692749,0,0,0,0,0
62,2.132284,1.106332,0.196568,0.192295,0.237724,0.724225,0.218309,7.629032,2.806452,7.629032,2.806452,0.983871,3.317438,0.691532,0.687349,0.818182,0.227273,0.090909,21,31,0.057522,0.344248,0,0,0,0,0
63,2.571864,1.189581,0.254109,0.290512,0.308056,0.888725,0.307425,7.612903,2.741935,7.612903,2.741935,0.967742,2.890870,0.661290,0.689788,0.818182,0.272727,0.227273,24,37,0.067478,0.409161,0,0,0,0,0
64,2.485747,1.188326,0.217134,0.287044,0.298227,0.774055,0.301504,7.677419,2.580645,7.677419,2.580645,0.983871,2.567316,0.721774,0.717047,0.954545,0.613636,0.340909,35,53,0.097345,0.539129,1,0,0,0,1
65,2.097010,1.090849,0.190151,0.204998,0.227163,0.689450,0.211487,7.774194,2.548387,7.774194,2.548387,0.967742,3.260002,0.703629,0.704626,0.954545,0.659091,0.454545,46,61,0.118363,0.592709,1,1,1,0,0
66,2.116590,1.088189,0.182707,0.207843,0.240971,0.682638,0.226221,7.677419,2.629032,7.677419,2.629032,0.967742,3.017573,0.743952,0.742257,0.954545,0.659091,0.431818,33,46,0.087389,0.585579,1,0,0,1,1
67,2.264340,1.118510,0.200567,0.251206,0.240597,0.727650,0.271546,7.709677,2.483871,7.709677,2.483871,0.951613,2.679654,0.719758,0.726140,0.909091,0.318182,0.181818,22,29,0.056416,0.426177,1,0,0,1,0
68,2.088177,1.094988,0.161191,0.229846,0.213894,0.597937,0.238774,7.709677,2.532258,7.709677,2.532258,0.983871,2.504194,0.750000,0.752026,0.931818,0.500000,0.272727,29,40,0.076327,0.491231,1,0,0,0,1
69,2.005089,1.055469,0.166433,0.200273,0.212778,0.628710,0.212958,7.645161,2.596774,7.645161,2.596774,0.935484,2.952269,0.737903,0.737692,0.931818,0.318182,0.204545,21,30,0.056416,0.444358,1,0,0,0,0
70,2.445548,1.117169,0.256850,0.244063,0.326369,0.933070,0.267829,7.612903,2.774194,7.612903,2.774194,0.983871,3.483829,0.723790,0.721860,0.954545,0.681818,0.500000,54,71,0.138274,0.613445,1,1,1,0,0
